panel,book,gross,band,stat,cstar,d_at_0,d_at_10
broad,EWALL,0.5,0.0,CAGR,0.0,-0.012894421263742517,-0.014762320970099996
broad,EWALL,0.5,0.0,Sharpe,5.0,0.012148246235337057,-0.027426899183141673
broad,EWALL,0.5,0.01,CAGR,0.0,-0.01247887276921289,-0.0140199253154083
broad,EWALL,0.5,0.01,Sharpe,5.0,0.014728432985918749,-0.018019501460732057
broad,EWALL,0.5,0.02,CAGR,0.0,-0.011731072353222682,-0.01293377625286829
broad,EWALL,0.5,0.02,Sharpe,10.0,0.021316090722332204,-0.004396057990553759
broad,EWALL,0.5,0.04,CAGR,0.0,-0.011529815621647455,-0.012307031415373482
broad,EWALL,0.5,0.04,Sharpe,0.0,-0.007229246851407245,-0.02399799366447053
broad,EWALL,0.5,0.06,CAGR,0.0,-0.010885133773849587,-0.011445271710828875
broad,EWALL,0.5,0.06,Sharpe,0.0,-0.01737301490610288,-0.02953348570684744
broad,EWALL,0.5,0.08,CAGR,0.0,-0.008743395719092106,-0.009152440631296166
broad,EWALL,0.5,0.08,Sharpe,25.0,0.01200447989352238,0.002991567106015669
broad,EWALL,0.75,0.0,CAGR,0.0,-0.019454664467765115,-0.022337184923159725
broad,EWALL,0.75,0.0,Sharpe,5.0,0.011692574932449018,-0.027960418187012337
broad,EWALL,0.75,0.01,CAGR,0.0,-0.018826952577806644,-0.021206466374297017
broad,EWALL,0.75,0.01,Sharpe,5.0,0.014263888441640615,-0.01855366835962835
broad,EWALL,0.75,0.02,CAGR,0.0,-0.017684422767864527,-0.019543199961456814
broad,EWALL,0.75,0.02,Sharpe,10.0,0.020918634890973786,-0.004852672951510817
broad,EWALL,0.75,0.04,CAGR,0.0,-0.01742112359427317,-0.01862236248198479
broad,EWALL,0.75,0.04,Sharpe,0.0,-0.007579120299552766,-0.02438650564282896
broad,EWALL,0.75,0.06,CAGR,0.0,-0.01646029253576775,-0.01732666241551195
broad,EWALL,0.75,0.06,Sharpe,0.0,-0.01774902952920776,-0.029939000125412063
broad,EWALL,0.75,0.08,CAGR,0.0,-0.013173401852736744,-0.013808096261092029
broad,EWALL,0.75,0.08,Sharpe,25.0,0.011454010948137805,0.0024165391173558426
broad,EWALL,1.0,0.0,CAGR,0.0,-0.026062245660205097,-0.030014038452271796
broad,EWALL,1.0,0.0,Sharpe,5.0,0.01126555447572719,-0.028482989747285137
broad,EWALL,1.0,0.01,CAGR,0.0,-0.02522006486562911,-0.028484366173582742
broad,EWALL,1.0,0.01,Sharpe,5.0,0.01382775180942919,-0.01907883575082181
broad,EWALL,1.0,0.02,CAGR,0.0,-0.023669065818427093,-0.02622162543016393
broad,EWALL,1.0,0.02,Sharpe,10.0,0.02054960899608682,-0.005301916892669789
broad,EWALL,1.0,0.04,CAGR,0.0,-0.0233736026807283,-0.0250243513406061
broad,EWALL,1.0,0.04,Sharpe,0.0,-0.007905573838754343,-0.02477763252418752
broad,EWALL,1.0,0.06,CAGR,0.0,-0.022103312788209983,-0.023295375059869228
broad,EWALL,1.0,0.06,Sharpe,0.0,-0.018108753346210316,-0.03035397125655881
broad,EWALL,1.0,0.08,CAGR,0.0,-0.0176220328428649,-0.018498445955895226
broad,EWALL,1.0,0.08,Sharpe,25.0,0.010907916573229315,0.0018218431357452936
broad,TOP20,0.5,0.0,CAGR,0.0,-6.42361563778504e-05,-7.45588155641741e-05
broad,TOP20,0.5,0.0,Sharpe,,0.014803295987270149,0.013339559592694061
