window,bar,const_share,books_constant
full-sample,H1,1.0,54
full-sample,H2,1.0,54
full-sample,OOS,0.9814814814814815,53
full-sample,DD,0.0,0
full-sample,CAGR,0.2777777777777778,15
OOS-window,H1,1.0,54
OOS-window,H2,1.0,54
OOS-window,OOS,0.9814814814814815,53
OOS-window,DD,0.0,0
OOS-window,CAGR,0.3148148148148148,17
