what,cells,mean_width,mean_frac,whole_ladder
1102 mass_set over TIE cells,26,4.884615384615385,0.851068376068376,12
"1110 FLOOR tie set over all CORE cells, q=0.90",32,4.6875,0.7869791666666667,18
