window,start,length,days_in,share,ex_in_bps,ex_out_bps,diff_bps,t,vol_in,vol_out,universe
season,7,14,725,0.15428814641413066,1.686451205719645,6.150296016811628,-4.463844811091983,-2.3916335366990777,0.3176742642994835,0.32247600024345385,u56
season,7,21,1096,0.23324111513087892,4.294840552657135,5.816935674386649,-1.5220951217295133,-0.8794243071231453,0.35571142046296583,0.3106883416487153,u56
season,7,28,1469,0.31261970632049374,5.050372097497693,5.649182408367926,-0.5988103108702327,-0.3849109711607369,0.35564738082140973,0.3051008686645251,u56
season,14,14,725,0.15428814641413066,4.363871183762871,5.6623107539375175,-1.298439570174646,-0.595980334128607,0.381984591634433,0.30950555344926417,u56
season,14,21,1098,0.23366673760374548,5.351254573022625,5.4958251261202244,-0.14457055309759972,-0.08065233825303071,0.373183840115562,0.30435379321325806,u56
season,14,28,1473,0.31347095126622687,5.830742452439784,5.293800081413198,0.5369423710265854,0.33852978719924826,0.36785888337917066,0.2983492538612068,u56
season,21,14,744,0.15833155990636305,8.326482202142813,4.923287707625247,3.403194494517567,1.5555358752601685,0.38902430471177685,0.30744999928780486,u56
season,21,21,1119,0.23813577356884444,7.960458561326808,4.681254585891504,3.2792039754353044,1.8297505576702116,0.37695990213794045,0.3024264208646538,u56
season,21,28,1485,0.31602468610342627,7.449995360108678,4.543536147969146,2.9064592121395325,1.8620230817099603,0.35997526311533573,0.3024508665893371,u56
season,28,14,748,0.15918280485209618,7.252339916527904,5.123238402195707,2.1291015143321976,1.057842312440754,0.3536301462564119,0.3153522058638038,u56
season,28,21,1114,0.237071717386678,6.804584366580916,5.0449151554994005,1.7596692110815162,1.062468945849735,0.3375929435673057,0.31666398443751265,u56
season,28,28,1468,0.31240689508406044,6.32555413985351,5.069591969338395,1.2559621705151138,0.8444374129333794,0.328924702631543,0.31843453731320287,u56
season,35,14,741,0.15769312619706322,6.5701827876458605,5.254565902859678,1.3156168847861829,0.6926650636316523,0.3282488245999714,0.3205181308391786,u56
season,35,21,1095,0.23302830389444562,6.0039604427507225,5.297309813618739,0.7066506291319834,0.4409562268397716,0.3193988310487833,0.3224616397592126,u56
season,35,28,1444,0.30729942540966165,7.489242103570921,4.561983351034801,2.92725875253612,2.00944192999303,0.3142004876120234,0.3250363052307635,u56
placebo(+45d),7,14,703,0.14960629921259844,7.414434776046757,5.118214836507558,2.2962199395391987,1.2669826027767026,0.3019233550998534,0.3251139511783302,u56
placebo(+45d),7,21,1063,0.22621834432858054,7.323036327369564,4.917502634509142,2.405533692860422,1.5344748745872254,0.30490770667796124,0.3265095760442599,u56
placebo(+45d),7,28,1433,0.3049585018088955,7.614921432979388,4.51668853331317,3.0982328996662187,2.156064899671736,0.3052374040300608,0.3287284757172282,u56
placebo(+45d),14,14,717,0.1525856565226644,4.883329254981,5.566320931522655,-0.6829916765416547,-0.37876969310421327,0.3028963745794943,0.3250305741697564,u56
placebo(+45d),14,21,1087,0.23132581400297936,6.098496853122503,5.2704344473147495,0.8280624058077529,0.5331055620557815,0.3040294915102887,0.3268972402385995,u56
placebo(+45d),14,28,1435,0.3053841242817621,5.2695141409148825,5.546752365293985,-0.27723822437910317,-0.19532043401721116,0.2983655581445218,0.33151466215610004,u56
placebo(+45d),21,14,730,0.1553522025962971,7.8081240230273865,5.0304367876764005,2.7776872353509856,1.5290624457860966,0.308408010896764,0.3241406557644388,u56
placebo(+45d),21,21,1078,0.2294105128750798,6.1525702109309774,5.256418062728386,0.8961521482025916,0.5811751889581942,0.2995241005135052,0.3280779775491825,u56
placebo(+45d),21,28,1348,0.2868695467120664,4.5707863857292885,5.820932401493156,-1.2501460157638675,-0.8779726602947167,0.291980365579317,0.3329849335260909,u56
placebo(+45d),28,14,718,0.15279846775909767,5.65524254353206,5.42720551738942,0.2280370261426403,0.1296386004996774,0.29378026817641684,0.32654135386214833,u56
placebo(+45d),28,21,988,0.21025750159608428,3.6335435822976403,5.949388143378613,-2.3158445610809726,-1.5109873241589262,0.2848604589410574,0.3308843295454602,u56
placebo(+45d),28,28,988,0.21025750159608428,3.6335435822976403,5.949388143378613,-2.3158445610809726,-1.5109873241589262,0.2848604589410574,0.3308843295454602,u56
placebo(+45d),35,14,618,0.13151734411576932,0.7504947921350137,6.1765457208117,-5.426050928676687,-3.1016725072084204,0.2712060657143039,0.32872213174169906,u56
placebo(+45d),35,21,618,0.13151734411576932,0.7504947921350137,6.1765457208117,-5.426050928676687,-3.1016725072084204,0.2712060657143039,0.32872213174169906,u56
placebo(+45d),35,28,618,0.13151734411576932,0.7504947921350137,6.1765457208117,-5.426050928676687,-3.1016725072084204,0.2712060657143039,0.32872213174169906,u56
season,7,14,725,0.15428814641413066,1.8661941036666032,2.626308234163203,-0.7601141304965997,-1.0435524777089613,0.2816382252379651,0.27256421034201517,broad
season,7,21,1096,0.23324111513087892,2.2537203237146737,2.58673860598072,-0.3330182822660461,-0.5174897899880462,0.29660021196721764,0.2667248417566442,broad
season,7,28,1469,0.31261970632049374,2.11729937920474,2.6872353549125703,-0.5699359757078303,-0.9807799319743392,0.29736453902416765,0.2626631448393401,broad
season,14,14,725,0.15428814641413066,3.086145860396158,2.4038055475630316,0.6823403128331261,0.8644408837024722,0.3099966499738155,0.26689036270699384,broad
season,14,21,1098,0.23366673760374548,2.620826459477864,2.475000550976318,0.14582590850154573,0.22136631355293301,0.3065049422044066,0.2632697655993964,broad
season,14,28,1473,0.31347095126622687,2.478961820817577,2.5228244989697832,-0.04386267815220625,-0.07470052740436488,0.30314079739883876,0.25958306058652364,broad
season,21,14,744,0.15833155990636305,2.361849061474993,2.5367771558577368,-0.17492809438274412,-0.2229616874822615,0.31192059942106287,0.2662417011556262,broad
season,21,21,1119,0.23813577356884444,2.2619241316685117,2.586346914127204,-0.32442278245869255,-0.49708321041076914,0.30573300566682754,0.2632725242893971,broad
season,21,28,1485,0.31602468610342627,2.6890634343731867,2.4258823985127105,0.2631810358604765,0.4570682503358154,0.29451527029416547,0.2639546105490523,broad
season,28,14,748,0.15918280485209618,1.8905694154852872,2.6261873085252825,-0.735617893039995,-0.9810962440719092,0.29634501802516783,0.2695403997784224,broad
season,28,21,1114,0.237071717386678,2.5820083093763175,2.486404870560622,0.09560343881569525,0.1541662487253116,0.2840810969895028,0.27076843063793904,broad
season,28,28,1468,0.31240689508406044,2.7631216037594335,2.3935958498570113,0.36952575390242215,0.6576608674236581,0.2803082425946862,0.2710597967628296,broad
season,35,14,741,0.15769312619706322,3.01758596462242,2.4138425652724265,0.6037433993499937,0.8507145424408222,0.2759393190960933,0.2736155813928391,broad
season,35,21,1095,0.23302830389444562,3.1195216492327993,2.3235080224337947,0.7960136267990046,1.3105231660896406,0.27342671747046804,0.27415203945151645,broad
season,35,28,1444,0.30729942540966165,3.051795072782082,2.2681583704799997,0.7836367023020822,1.4241333646643215,0.2676687749286783,0.27673979841664376,broad
placebo(+45d),7,14,703,0.14960629921259844,3.710563806139898,2.2975716031173277,1.4129922030225701,2.0647187899373174,0.257035071914401,0.2768583980926829,broad
placebo(+45d),7,21,1063,0.22621834432858054,3.3541563698010255,2.26187299657063,1.0922833732303956,1.8462640676894584,0.2593744403525927,0.27811080899684965,broad
placebo(+45d),7,28,1433,0.3049585018088955,3.3278700811766044,2.1496117376330885,1.1782583435435159,2.1649727980231024,0.261329261554345,0.2793561591405152,broad
placebo(+45d),14,14,717,0.1525856565226644,2.7765665483683444,2.4608937190366853,0.31567282933165913,0.4645128753484201,0.2572709708289404,0.27688663987841955,broad
placebo(+45d),14,21,1087,0.23132581400297936,2.9385148761105873,2.3797898602118615,0.5587250158987258,0.9483679816093551,0.2605771071783398,0.27789274068774833,broad
