gate,check,value,pass_
G2,fast runner == engine.backtest (U56 W/H126/N=20),1.3877787807814457e-17,True
G3,CROSS-RUN the committed U56 W/H126/N=20 triple,0.0016222226940012519,True
G4,SPY OOS triple,0.0028937770933026297,True
G5,live RULES v2 MaxDD == committed -12.05%,4.9488215128346e-05,True
G6,determinism of the SMALL pipeline,0.0,True
G7,S_BLOCK at L=1 == S_IID (relative),0.012723709350303609,True
G8,S_FOLD refuses to report with < 2 usable folds,1.0,True
G1,1212's census reproduces at its own commit (0743d51),210.0,True
G9,1212's own fold count (10 of 210) reproduces under R_TEXT200,0.0,True
G10,the null pairs are EXCHANGEABLE (|mean dSharpe| <= 0.05),0.00251533508241108,True
G11,1212's crit95 table reproduces (max |deviation| over its 15 cells),0.1636086306433988,True
