leg,vint,char,n,max_abs_d,mean_abs_d,rho,abs_gap,abs_resid,committed_abs_gap,committed_abs_resid
per-name,LIVE,momac,562,0.10884348573023456,0.00741133217301378,0.9830945541500169,,,,
per-name,LIVE,tpers,564,0.0010015022533800266,3.5514264304742478e-06,0.9999898475406078,,,,
per-name,FROZEN,momac,562,0.010846000029177238,0.0005680752434237048,0.9998670131044499,,,,
per-name,FROZEN,tpers,564,0.0010015022533800266,3.5514264304742478e-06,0.9999898475406078,,,,
anchor,LIVE,momac,4,,,,0.05299466101585218,0.0027111023034787074,0.05493292065190132,0.015196181227523326
anchor,LIVE,tpers,3,,,,0.06350440913143218,0.0010634578378864539,0.12041198474301663,0.0016672666351678332
anchor,FROZEN,momac,4,,,,0.0569486073237566,0.013276875297812019,0.05493292065190132,0.015196181227523326
