panel,obs_half_diff,boot_sd,t,p_gt0,p_two_sided,lo,hi
SMALL,0.8204268047144421,0.637481851427588,1.2869806456092263,0.5055,0.195,-1.2953576963769011,1.2311648110405946
U56,0.32659613970631773,0.637712871650058,0.5121366593420995,0.4955,0.6035,-1.290694501789152,1.2690071702403611
B136,0.4127053535944323,0.6256626492254203,0.6596292013041976,0.5105,0.5175,-1.2353990558945807,1.2442720213873164
