n,scope,N,rho_sd_W,r_sd_W,rho_sd_Wmax,rho_sd_Wcw,rho_sd_WIS,rho_nelig_W,rho_W_Sharpe
5,pooled,150,0.4728974621094271,0.5670258082488205,0.5220973372470052,0.36057602560113783,0.3022658784834882,0.12007466998533267,0.3465274012178319
5,k=20,50,0.49512605042016805,0.5933843554483366,0.42363651258193263,0.3535654261704682,0.3271548619447779,0.17695078031212486,0.46381752701080425
5,k=40,50,0.44153661464585836,0.4945174542202925,0.47689651241651565,0.3307082833133253,0.21911164465786312,0.16235294117647062,0.23870348139255704
5,k=80,50,0.6607923169267707,0.6134456127329002,0.3899909109847181,0.5438175270108043,0.5662905162064826,0.13565426170468187,0.4447058823529411
20,pooled,150,0.4728974621094271,0.5670258082488205,0.5220973372470052,0.36057602560113783,0.3022658784834882,0.12007466998533267,0.32421885417129653
20,k=20,50,0.49512605042016805,0.5933843554483366,0.42363651258193263,0.3535654261704682,0.3271548619447779,0.17695078031212486,0.42914765906362545
20,k=40,50,0.44153661464585836,0.4945174542202925,0.47689651241651565,0.3307082833133253,0.21911164465786312,0.16235294117647062,0.22487394957983195
20,k=80,50,0.6607923169267707,0.6134456127329002,0.3899909109847181,0.5438175270108043,0.5662905162064826,0.13565426170468187,0.41358943577430973
