metric,cost,delay,phase,winner
Sharpe,0.12569233139583358,0.03100423767774707,0.014317923587928494,cost
MaxDD,0.005065532208211571,0.00637395884982403,0.009508898726033332,phase
CAGR,0.014032916648914207,0.0020977720930980825,0.0017018278053128333,cost
oos_Sharpe,0.12105330151232163,0.021930785978175216,0.019487737103276892,cost
L1_H1,0.1252056602919465,0.0407890603869846,0.01148849029254595,cost
L2_H2,0.12618856896837596,0.02159039994237122,0.019566814031403368,cost
L3_OOS,0.12105330151232141,0.021930785978175327,0.019487737103276892,cost
L4_DD,0.005065532208211571,0.00637395884982403,0.009508898726033332,phase
L5_CAGR,0.014032916648914208,0.0020977720930981016,0.0017018278053128437,cost
