panel,arm,gross,pass4b_at_0,invariant_0_5,invariant_0_5_convB,invariant_0_6,flip_credit_4b,L5_at_0,flip_credit_L5,closed_form_L5,cash_share,fail_legs_at_0
B136,BAND03,0.2,False,True,True,True,,False,,0.0994092693266287,0.8580235006964879,L5_CAGRfloor
B136,BAND03,0.35,False,True,True,True,,False,,0.0921490217696093,0.7515754529121131,L5_CAGRfloor
B136,BAND03,0.5,False,True,True,True,,False,,0.0824205049592531,0.6451556876830828,L5_CAGRfloor
B136,BAND03,0.6,False,True,True,True,,False,,0.0738934540094578,0.574224382181162,L5_CAGRfloor
B136,BAND03,0.75,False,True,True,False,,False,,0.0561991936582922,0.46784946734391886,L5_CAGRfloor
B136,BAND03,0.85,False,False,False,False,0.04,False,0.04,0.0391013757152414,0.39694710660074706,L5_CAGRfloor
B136,BAND03,0.95,False,False,False,False,0.02,False,0.02,0.014546911698236,0.3260557871608072,L5_CAGRfloor
B136,BAND03,1.0,True,True,True,True,,True,,-0.0022275598707967,0.29061417181311433,-
B136,BAND03_M,0.2,False,True,True,True,,False,,0.098454844964732,0.8576050989268642,L5_CAGRfloor
B136,BAND03_M,0.35,False,True,True,True,,False,,0.0901423112330386,0.7510307211796877,L5_CAGRfloor
B136,BAND03_M,0.5,False,True,True,True,,False,,0.0789143297790379,0.6446396154873936,L5_CAGRfloor
B136,BAND03_M,0.6,False,True,True,True,,False,,0.0690178281590756,0.5738110049168493,L5_CAGRfloor
B136,BAND03_M,0.75,False,False,False,False,0.05,False,0.05,0.0483860497349658,0.467711759859016,L5_CAGRfloor
B136,BAND03_M,0.85,False,False,False,False,0.03,False,0.03,0.0283856343066096,0.39707208199372573,L5_CAGRfloor
B136,BAND03_M,0.95,False,False,False,False,0.01,False,0.01,-0.0003741406365569,0.3265048276112905,L5_CAGRfloor
B136,BAND03_M,1.0,False,True,True,True,,True,,-0.0200200953159722,0.29124779801888484,L4_DDcap
B136,BAND08,0.2,False,True,True,True,,False,,0.0976879026327317,0.8588307646786556,L5_CAGRfloor
B136,BAND08,0.35,False,True,True,True,,False,,0.0886969679732826,0.7529914323746225,L5_CAGRfloor
B136,BAND08,0.5,False,True,True,True,,False,,0.0766647521699431,0.6471830583896123,L5_CAGRfloor
