panel,cost,conv,family,rho,stat,span_flips
U56,10,rw,band sweep @ W,-0.8999999999999998,0.08782786916331231,7.021109287322975
U56,10,rw,band sweep @ M,0.49999999999999994,0.030737881921469645,7.021109287322975
U56,10,rw,cadence W->M (fixed band),,0.015849310707881113,0.0
U56,10,dg,band sweep @ W,0.49999999999999994,0.05559884319066488,7.021109287322975
U56,10,dg,band sweep @ M,0.9999999999999999,0.10853676459397965,7.021109287322975
U56,10,dg,cadence W->M (fixed band),,-0.0062309115279918,0.0
U56,25,rw,band sweep @ W,-0.9999999999999999,0.16109749245336402,7.021109287322975
U56,25,rw,band sweep @ M,-0.3,0.027326349786110704,7.021109287322975
U56,25,rw,cadence W->M (fixed band),,0.044925075751718356,0.0
U56,25,dg,band sweep @ W,-0.19999999999999998,0.06657470028696522,7.021109287322975
U56,25,dg,band sweep @ M,0.8999999999999998,0.09511303627922518,7.021109287322975
U56,25,dg,cadence W->M (fixed band),,0.011003399713775553,0.0
B136,10,rw,band sweep @ W,-0.7,0.051745221722571566,7.097309747908744
B136,10,rw,band sweep @ M,0.0,0.018163193264272515,7.097309747908744
B136,10,rw,cadence W->M (fixed band),,0.015555220955986337,0.0
B136,10,dg,band sweep @ W,-0.3,0.03936618347491594,7.097309747908744
B136,10,dg,band sweep @ M,0.9999999999999999,0.06605921678231375,7.097309747908744
B136,10,dg,cadence W->M (fixed band),,-0.008234402870833258,0.0
B136,25,rw,band sweep @ W,-0.9999999999999999,0.12261066336048976,7.097309747908744
B136,25,rw,band sweep @ M,-0.7,0.03246529229583528,7.097309747908744
B136,25,rw,cadence W->M (fixed band),,0.04498670162517602,0.0
B136,25,dg,band sweep @ W,-0.6,0.07831302264778928,7.097309747908744
B136,25,dg,band sweep @ M,0.9999999999999999,0.05054735093991125,7.097309747908744
B136,25,dg,cadence W->M (fixed band),,0.010030395340657972,0.0
