output,K_B,K_DRAW,K_RECENTRE,K_SEED
O_REACH,,,,
B_PPICK,0.6150920736589268,2.6618628235922075,1.9787830264211368,1.0
B_Q95,0.5576366958807846,1.8670488881230853,0.6251582058602372,1.0
B_NULLMED,0.6025138409574121,1.3973575741995474,1.071918606727936,1.0
B_RECRANGE,0.6194857123015896,3.1579463008414113,1.759402053152989e-16,1.0
B_BOOT95,0.6573712472212411,2.0058132221478524,0.6091496541050067,1.0
B_PCTRANK,0.5708135391923993,1.9707046714172605,2.071852731591449,1.0
B_PMAX,0.6123041599135601,2.350756347920044,1.803349540788763,1.0
B_MODALRUNG,0.75,1.7291666666666667,1.125,1.0
B_MODALMATCH,0.7407407407407408,1.740740740740741,1.2592592592592593,1.0
B_SD,0.6230720824526993,3.7921783325150535,4.3047831309679134e-17,1.0
B_GAPEXCEEDS,,,,
B_RESOLVED,1.1666666666666667,3.166666666666667,1.3333333333333333,1.0
B_Q05,0.6173738519145897,2.9324689473529153,0.6565045987410303,1.0
O_PICK,,,,
O_MARGIN,,,,
O_LEVEL,,,,
O_GAPRATIO,,,,
