ladder,pred,n,agree,mean_ov_hold,mean_ov_cap,mean_D,max_absD
L_B,COMPOSITION,9,0,0.8900719170964627,0.8900643472705263,0.003354193065691303,0.00742809416040191
L_C,COMPOSITION,9,2,0.5519407992323625,0.5502059131736402,0.015055897222120085,0.024871259987519823
L_G,SCALE,9,9,1.0,0.6391132109879878,-6.792529041191011e-05,0.0001940179997490521
L_H,COMPOSITION,9,3,0.6209821343943954,0.6209775066413821,0.016288524843697694,0.025508204852629612
L_N,COMPOSITION,12,0,0.6860022293331577,0.6857710191721863,0.006210041321584102,0.016530903704238042
L_S,SCALE,9,3,1.0,0.6810008751811636,0.12471415585366438,0.5420672601094773
L_T,SCALE,9,9,1.0,0.9490651047659235,0.0019160077999413943,0.0030966300800221447
L_V,COMPOSITION,12,0,0.7845689383869882,0.7845641028478499,0.008030879342004324,0.016512620500215736
