item,rows,cells_keys,crossing_hm3,last_nonpos
219,560,dial|corpus|cost_bps,0.425,0.4
167,120,panel|instr,0.05,
159B,120,panel|constr|tilt,0.05,
159c,42,panel,0.03,
168B,486,panel|constr|m|cost,,1.0
168c,352,panel|cost|share,0.5,0.25
103,1152,panel|book|conv|f,-0.0112974636741161,
61,408,panel|book|conv|cost,,8.601415634650671
277,336,seed|r_target,0.0,
bandgate,168,panel|floor_musd|conv|bps,0.0,
