panel,k,draw,block,lo,hi,width,Sharpe,CAGR,MaxDD,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
MIX q=1.00 k=40 d0,40,0,B1,0,2,2,0.8847024542048717,0.3010012203316721,-0.5275513275708299,1.1347846245801017,0.4620693135995326,-0.46642944244327467
MIX q=1.00 k=40 d0,40,0,B2,2,4,2,0.3915329014880515,0.077161978654396,-0.5262478548491816,0.4379037428295136,0.09689676347447773,-0.5262478548491821
MIX q=1.00 k=40 d0,40,0,B3,4,10,6,0.050296867732479135,-0.016319238178560513,-0.7611763567535537,-0.1027588239889297,-0.05702135724873525,-0.7156425332837022
MIX q=1.00 k=40 d0,40,0,B4,10,20,10,0.06957915895354712,-0.004145792449517405,-0.5094388109241539,0.004667512370456157,-0.02143916897771614,-0.5094388109241548
MIX q=1.00 k=40 d1,40,1,B1,0,2,2,0.35253990302416754,0.06287013144426679,-0.7023605410433447,0.38072518188779303,0.07374651782838182,-0.6344545773006798
MIX q=1.00 k=40 d1,40,1,B2,2,4,2,0.19845945392681438,0.008500763808668044,-0.6757266657782464,0.23721075633052519,0.020941490557072173,-0.6757266657782447
MIX q=1.00 k=40 d1,40,1,B3,4,10,6,0.06391998256024864,-0.011972435665242087,-0.7987985760491911,0.1545197803320459,0.007966228216533588,-0.6669863952572297
MIX q=1.00 k=40 d1,40,1,B4,10,20,10,0.04506835866250898,-0.012687729001378933,-0.5884407079203766,0.06414392195369413,-0.010985752946461869,-0.5712460086865114
MIX q=1.00 k=40 d2,40,2,B1,0,2,2,0.4676163223571026,0.11125226434148017,-0.9232300427252974,0.5410262268839516,0.1468416224687854,-0.9232300427252975
MIX q=1.00 k=40 d2,40,2,B2,2,4,2,0.2918400502650907,0.04303790572311228,-0.7289812782665481,0.09403389174068573,-0.028788878219769276,-0.7289812782665483
MIX q=1.00 k=40 d2,40,2,B3,4,10,6,0.19304724593349867,0.017757056162903906,-0.63972059735256,0.18888246125449126,0.015422520862540035,-0.639720597352561
MIX q=1.00 k=40 d2,40,2,B4,10,20,10,0.21665235901440782,0.02351362641893573,-0.547368601409528,0.02162600307870683,-0.018239925841342597,-0.5305372248759603
MIX q=1.00 k=40 d3,40,3,B1,0,2,2,0.4951724075003883,0.12385540764990921,-0.7616745109405694,0.5346847519565419,0.14403289304534161,-0.7616745109405694
MIX q=1.00 k=40 d3,40,3,B2,2,4,2,0.17084257755286736,0.0007106124489810739,-0.7937222341735671,0.07846255138985365,-0.03615073541610714,-0.7937222341735677
MIX q=1.00 k=40 d3,40,3,B3,4,10,6,0.02531766444139209,-0.020693520413171074,-0.6358280315809901,0.1280780885778544,0.002772650516101649,-0.5881771535808634
MIX q=1.00 k=40 d3,40,3,B4,10,20,10,0.2446796229479038,0.029361113200185418,-0.42488078554193676,0.18583186026250556,0.016789947958611773,-0.42488078554193753
MIX q=1.00 k=40 d4,40,4,B1,0,2,2,0.2691991572065163,0.028923081464134803,-0.7189505971639852,0.42189990637754227,0.09257095460668352,-0.6207394227330811
MIX q=1.00 k=40 d4,40,4,B2,2,4,2,0.4794612152945551,0.11036087527355742,-0.6769618893280859,0.2521792549022448,0.028705181418849923,-0.6769618893280864
