universe,book,conv,f,corr_uncond,corr_uncond_raw,corr_crisis_q05,corr_crisis_q05_raw,corr_crisis_q10,corr_crisis_q10_raw,corr_crisis_q20,corr_crisis_q20_raw
broad,ewall,matched,0.25,-0.9999999999999999,-0.4787878787878787,-0.9757575757575757,-0.3939393939393939,-0.9757575757575757,-0.3939393939393939,-0.9878787878787878,-0.43030303030303024
broad,ewall,matched,0.5,-0.9878787878787878,-0.41818181818181815,-0.9636363636363635,-0.33333333333333326,-0.9636363636363635,-0.33333333333333326,-0.9757575757575757,-0.3696969696969697
broad,ewall,matched,0.75,-0.9757575757575757,-0.19999999999999998,-0.9515151515151514,-0.09090909090909088,-0.9515151515151514,-0.09090909090909088,-0.9636363636363635,-0.11515151515151514
broad,ewall,matched,1.0,,0.6606060606060605,,0.7333333333333332,,0.7333333333333332,,0.709090909090909
broad,ewall,natural,0.25,-0.7939393939393938,-0.5515151515151515,-0.8303030303030302,-0.49090909090909085,-0.8303030303030302,-0.49090909090909085,-0.8181818181818182,-0.5151515151515151
broad,ewall,natural,0.5,-0.9393939393939393,-0.49090909090909085,-0.9757575757575757,-0.406060606060606,-0.9757575757575757,-0.406060606060606,-0.9515151515151514,-0.4424242424242424
broad,ewall,natural,0.75,-0.9999999999999999,-0.309090909090909,-0.9757575757575757,-0.2121212121212121,-0.9757575757575757,-0.2121212121212121,-0.9878787878787878,-0.24848484848484845
broad,ewall,natural,1.0,,0.5272727272727272,,0.6121212121212121,,0.6121212121212121,,0.6
broad,top20,matched,0.25,-0.7939393939393938,-0.41818181818181815,-0.7939393939393938,-0.41818181818181815,-0.7939393939393938,-0.41818181818181815,-0.8181818181818182,-0.3696969696969697
broad,top20,matched,0.5,-0.8424242424242423,-0.38181818181818183,-0.8424242424242423,-0.38181818181818183,-0.8424242424242423,-0.38181818181818183,-0.8545454545454544,-0.33333333333333326
broad,top20,matched,0.75,-0.9272727272727272,-0.07878787878787878,-0.9272727272727272,-0.07878787878787878,-0.9272727272727272,-0.07878787878787878,-0.9393939393939393,0.006060606060606061
broad,top20,matched,1.0,,0.6606060606060605,,0.6606060606060605,,0.6606060606060605,,0.709090909090909
broad,top20,natural,0.25,-0.7939393939393938,-0.38181818181818183,-0.7939393939393938,-0.38181818181818183,-0.7939393939393938,-0.38181818181818183,-0.8181818181818182,-0.33333333333333326
broad,top20,natural,0.5,-0.7939393939393938,-0.38181818181818183,-0.7939393939393938,-0.38181818181818183,-0.7939393939393938,-0.38181818181818183,-0.8181818181818182,-0.33333333333333326
broad,top20,natural,0.75,-0.8424242424242423,-0.16363636363636364,-0.8424242424242423,-0.16363636363636364,-0.8424242424242423,-0.16363636363636364,-0.8545454545454544,-0.07878787878787878
broad,top20,natural,1.0,,0.5272727272727272,,0.5272727272727272,,0.5272727272727272,,0.6
broad,v1,matched,0.25,-0.6606060606060605,0.7696969696969697,-0.8666666666666665,0.8787878787878788,-0.7696969696969697,0.8303030303030302,-0.6606060606060605,0.7696969696969697
broad,v1,matched,0.5,-0.49090909090909085,0.8424242424242423,-0.7333333333333332,0.9515151515151514,-0.6242424242424242,0.9151515151515152,-0.49090909090909085,0.8424242424242423
broad,v1,matched,0.75,0.2727272727272727,0.8545454545454544,0.2121212121212121,0.9636363636363635,0.2606060606060606,0.9272727272727272,0.2727272727272727,0.8545454545454544
broad,v1,matched,1.0,,0.8545454545454544,,0.9636363636363635,,0.9272727272727272,,0.8545454545454544
broad,v1,natural,0.25,-0.5878787878787878,0.7333333333333332,-0.8060606060606059,0.8666666666666665,-0.6969696969696969,0.8060606060606059,-0.5878787878787878,0.7333333333333332
broad,v1,natural,0.5,-0.5151515151515151,0.709090909090909,-0.7575757575757575,0.8545454545454544,-0.6363636363636362,0.7818181818181817,-0.5151515151515151,0.709090909090909
broad,v1,natural,0.75,-0.5393939393939393,0.6727272727272726,-0.6727272727272726,0.8424242424242423,-0.6363636363636362,0.7575757575757575,-0.5393939393939393,0.6727272727272726
broad,v1,natural,1.0,,0.7818181818181817,,0.9272727272727272,,0.8666666666666665,,0.7818181818181817
u56,ewall,matched,0.25,-0.9999999999999999,-0.4787878787878787,-0.8666666666666665,-0.04242424242424241,-0.9393939393939393,-0.22424242424242422,-0.9636363636363635,-0.29696969696969694
u56,ewall,matched,0.5,-0.9878787878787878,-0.41818181818181815,-0.8303030303030302,-0.006060606060606061,-0.9030303030303028,-0.18787878787878787,-0.9393939393939393,-0.24848484848484845
u56,ewall,matched,0.75,-0.9878787878787878,-0.11515151515151514,-0.8303030303030302,0.32121212121212117,-0.9030303030303028,0.13939393939393938,-0.9393939393939393,0.07878787878787878
u56,ewall,matched,1.0,,0.6606060606060605,,0.9151515151515152,,0.8303030303030302,,0.7939393939393938
u56,ewall,natural,0.25,-0.7939393939393938,-0.5515151515151515,-0.9515151515151514,-0.17575757575757575,-0.9030303030303028,-0.35757575757575755,-0.8787878787878788,-0.406060606060606
u56,ewall,natural,0.5,-0.8787878787878788,-0.41818181818181815,-0.9757575757575757,-0.006060606060606061,-0.9757575757575757,-0.18787878787878787,-0.9393939393939393,-0.24848484848484845
u56,ewall,natural,0.75,-0.9878787878787878,-0.2727272727272727,-0.9030303030303028,0.17575757575757575,-0.9636363636363635,-0.01818181818181818,-0.9757575757575757,-0.09090909090909088
