claim_set,split,est,D,bar,n,agree,disagree,agree_rate
ALL,FULL_vs_IS,POOLED,3,1.0,607,562,45,0.9258649093904449
ALL,FULL_vs_IS,POOLED,3,2.0,607,565,42,0.9308072487644151
ALL,FULL_vs_IS,POOLED,6,1.0,607,568,39,0.9357495881383855
ALL,FULL_vs_IS,POOLED,6,2.0,607,563,44,0.9275123558484349
ALL,FULL_vs_IS,POOLED,12,1.0,607,568,39,0.9357495881383855
ALL,FULL_vs_IS,POOLED,12,2.0,607,564,43,0.929159802306425
ALL,FULL_vs_IS,POOLED,24,1.0,607,577,30,0.9505766062602965
ALL,FULL_vs_IS,POOLED,24,2.0,607,566,41,0.9324546952224053
ALL,FULL_vs_IS,RSS_INDEP,3,1.0,607,571,36,0.9406919275123559
ALL,FULL_vs_IS,RSS_INDEP,3,2.0,607,571,36,0.9406919275123559
ALL,FULL_vs_IS,RSS_INDEP,6,1.0,607,572,35,0.942339373970346
ALL,FULL_vs_IS,RSS_INDEP,6,2.0,607,582,25,0.9588138385502472
ALL,FULL_vs_IS,RSS_INDEP,12,1.0,607,575,32,0.9472817133443163
ALL,FULL_vs_IS,RSS_INDEP,12,2.0,607,575,32,0.9472817133443163
ALL,FULL_vs_IS,RSS_INDEP,24,1.0,607,579,28,0.9538714991762768
ALL,FULL_vs_IS,RSS_INDEP,24,2.0,607,580,27,0.9555189456342669
ALL,FULL_vs_IS,PAIR_INDEP,3,1.0,607,551,56,0.9077429983525536
ALL,FULL_vs_IS,PAIR_INDEP,3,2.0,607,574,33,0.9456342668863262
ALL,FULL_vs_IS,PAIR_INDEP,6,1.0,607,551,56,0.9077429983525536
ALL,FULL_vs_IS,PAIR_INDEP,6,2.0,607,584,23,0.9621087314662273
ALL,FULL_vs_IS,PAIR_INDEP,12,1.0,607,561,46,0.9242174629324547
ALL,FULL_vs_IS,PAIR_INDEP,12,2.0,607,574,33,0.9456342668863262
ALL,FULL_vs_IS,PAIR_INDEP,24,1.0,607,565,42,0.9308072487644151
ALL,FULL_vs_IS,PAIR_INDEP,24,2.0,607,581,26,0.957166392092257
ALL,FULL_vs_OOS,POOLED,3,1.0,607,604,3,0.9950576606260296
ALL,FULL_vs_OOS,POOLED,3,2.0,607,605,2,0.9967051070840197
ALL,FULL_vs_OOS,POOLED,6,1.0,607,604,3,0.9950576606260296
ALL,FULL_vs_OOS,POOLED,6,2.0,607,601,6,0.9901153212520593
