panel,kind,family,dial,cost_bps,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,L1_H1,L2_H2,L3_OOS,L4_DD,L5_CAGR,keep4b,binding4b,keep4a,binding4a
B136,IS-CHOSEN (incumbent),FIXED,0.1,0,0.1286270762769417,1.2602507915910557,-0.1174303658226914,1.348420959595755,1.1734079862830948,0.1334464726946729,1.3234379654241013,-0.11743036582269128,0.3913472524639706,0.34849363185354454,0.4497658345228509,0.08486535402166673,0.02276687121689476,True,none,True,none
B136,IS-CHOSEN (incumbent),FIXED,0.1,10,0.1250962195302867,1.228631477106311,-0.11807522356955857,1.3171143618077108,1.1414896569837694,0.13007219242892387,1.2927878651902318,-0.11807522356955846,0.3600406546759264,0.31657530255421906,0.4191157342889814,0.08422049627479955,0.019236014470239773,True,none,True,none
B136,IS-CHOSEN (incumbent),FIXED,0.1,25,0.11981994629744852,1.1811677338534763,-0.12005538984948905,1.270111685649481,1.0935851616793997,0.12502895592012364,1.2467784194084364,-0.12005538984948894,0.31303797851769655,0.2686708072498494,0.37310628850718597,0.08224032999486908,0.013959741237401582,True,none,True,none
B136,IS-CHOSEN (incumbent),FIXED,0.1,50,0.11107926295843895,1.1019918788255159,-0.12708369542135212,1.191682881186617,1.0136954649542538,0.11667182794182263,1.1700261551040252,-0.12708369542135345,0.2346091740548325,0.18878111052470348,0.2963540242027748,0.07521202442300601,0.005219057898392013,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),SELFQ,0.5,0,0.1519255743148702,1.2394717286953345,-0.1613751770605174,1.310650331382532,1.1639817152598522,0.14181385755161502,1.286212663772819,-0.15280065178114166,0.35357662425074754,0.33906736083030187,0.41254053287156867,0.04092054278384072,0.046065369254823255,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),SELFQ,0.5,10,0.14897553323575408,1.218015930338304,-0.16241686005007683,1.2939152781379935,1.1369694591527717,0.13862919054221878,1.2601473737595448,-0.15573979974281893,0.33684157100620904,0.3120551047232214,0.3864752428582944,0.039878859794281296,0.04311532817570714,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),SELFQ,0.5,25,0.14456407529248416,1.1858012347538809,-0.16397717377148135,1.26879103081028,1.096410349901538,0.13386818870637596,1.221004355811294,-0.16012997419815533,0.3117173236784957,0.27149599547198777,0.34733222491004356,0.03831854607287677,0.038703870232437224,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),SELFQ,0.5,50,0.13724777902645213,1.1320361785928492,-0.16739774056510004,1.2268637771080375,1.0287196934517753,0.12597566573408114,1.1556613547901813,-0.1673977405651006,0.2697900699762531,0.20380533902222497,0.2819892238889309,0.034897979279258085,0.031387573966405194,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),MEDMULT,1.0,0,0.16237781297743203,1.2644059447406124,-0.16691905151358732,1.3425873365610177,1.1810104131166272,0.15098297753987056,1.307812485152352,-0.14612589014512656,0.3855136294292333,0.35609605868707694,0.43414035425110165,0.0353766683307708,0.056517607917385096,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),MEDMULT,1.0,10,0.1597653664525398,1.2463512889735437,-0.16793283947598658,1.329681952396168,1.156908767554103,0.14799554444388185,1.2844729304807592,-0.14680809711462128,0.37260824526438363,0.3319944131245527,0.41080079957950877,0.03436288036837154,0.053905161392492865,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),MEDMULT,1.0,25,0.15585726839864322,1.2192480175356124,-0.16945141420035426,1.3103084048193216,1.1207332918888926,0.1435283817148627,1.249436708981982,-0.15086933977895334,0.35323469768753724,0.2958189374593423,0.3757645780807316,0.03284430564400387,0.049997063338596284,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),MEDMULT,1.0,50,0.14937186550827564,1.1740243605988512,-0.17197676227336223,1.2779798877104596,1.060390710105508,0.136120259585655,1.1909819666647419,-0.1575965522223527,0.32090618057867515,0.2354763556759576,0.3173098357634915,0.030318957570995897,0.0435116604482287,True,none,False,MaxDD
B136,ZERO-IS (pre-stated),CASHSHARE,0.25,0,0.14126652233189607,1.1205592304226961,-0.2535760163544474,1.2394209271312109,1.0138819967419537,0.13802462236056567,1.0942575838042894,-0.2535760163544474,0.28234721999942647,0.18896764231240337,0.220585452903039,-0.05128029651008925,0.03540631727184913,False,L4_DD,False,"H1,MaxDD"
