panel,gate,value,expect,ok
U56,G1_MaxDD_monotone_deeper_in_f,-0.003412717493155748,<=0,True
U56,G2_gross_monotone_in_f,0.014376583406240484,>0,True
U56,G3_CAGR_monotone_in_f_(reported_not_required),0.002435401416082339,report,True
U56,G4_ladder_top_is_base,0.0,~0,True
B136,G1_MaxDD_monotone_deeper_in_f,-0.0036663958214926406,<=0,True
B136,G2_gross_monotone_in_f,0.014818333786095983,>0,True
B136,G3_CAGR_monotone_in_f_(reported_not_required),0.002893501215021077,report,True
B136,G4_ladder_top_is_base,0.0,~0,True
SMALL,G0_small_blowups_dropped,54.0,>0,True
SMALL,G1_MaxDD_monotone_deeper_in_f,-0.005045980879002987,<=0,True
SMALL,G2_gross_monotone_in_f,0.014906882100995777,>0,True
SMALL,G3_CAGR_monotone_in_f_(reported_not_required),0.0008314134849030097,report,True
SMALL,G4_ladder_top_is_base,0.0,~0,True
