vintage,commit,commit_date,rows,last,cols,d_days,index_convention
2026-09-03_fb20817,fb20817,2026-09-03,6059,2026-09-04,56,7,CALENDAR(pre-fix)
2026-09-03_0ede228,0ede228,2026-09-03,6060,2026-09-04,56,7,CALENDAR(pre-fix)
2026-09-04_c006b43,c006b43,2026-09-04,4698,2026-09-03,56,6,EQUITY
2026-09-04_50585c8,50585c8,2026-09-04,4699,2026-09-04,56,6,EQUITY
2026-09-07_f138ee9,f138ee9,2026-09-07,4699,2026-09-04,56,3,EQUITY
2026-09-08_9ee888f,9ee888f,2026-09-08,4700,2026-09-08,56,2,EQUITY
2026-09-09_7a93b07,7a93b07,2026-09-09,4701,2026-09-09,56,1,EQUITY
2026-09-10_60e8c36,60e8c36,2026-09-10,4702,2026-09-10,56,0,EQUITY
