panel,repair,F_1140,F_FINE,F_FINER,F_DENSE,F_LONG,finer_over_1140
U56,P_RAW,1.159904439498166,0.7038630560163766,0.6433989047550824,0.6301442284562947,0.49585683211414205,0.5546999242743219
U56,P_FREEZE,1.159904439498166,1.159904439498166,1.159904439498166,1.159904439498166,1.159904439498166,1.0
U56,P_CMATCH,1.7036007684046184,1.5812308119979859,1.7266847943039385,1.8189729438703268,1.373306405278955,1.013550138229239
U56,P_CMNORM,1.1357338456030792,1.2312091853914169,1.3397813895512038,1.3678950430042254,1.300896981231492,1.1796614098788036
U56,P_ELAST,1.087455765453604,1.1950310269815891,1.287597359704804,1.304366212188265,1.2743172524281388,1.1840457337294232
B136,P_RAW,1.3179547935935974,0.7148675559586304,0.6449415222864832,0.6098436813914624,0.4991081757289946,0.4893502610419249
B136,P_FREEZE,1.3179547935935974,1.3179547935935974,1.3179547935935974,1.3179547935935974,1.3179547935935974,1.0
B136,P_CMATCH,1.976932190390396,1.6132433469794107,1.7262781665659983,1.7428406059951815,1.342823397239587,0.8732106113488396
B136,P_CMNORM,1.3179547935935965,1.256532278024751,1.3393650454861112,1.3106937196523274,1.2716545776207182,1.0162450578704119
B136,P_ELAST,1.2441960857719427,1.2181754460461809,1.3072481630690551,1.2781126907410525,1.247995572311246,1.0506769616285947
SMALL,P_RAW,0.8007467165293904,0.5560223400010013,0.4728305967438681,0.46446804352193616,0.4010194650416737,0.5904870878437295
SMALL,P_FREEZE,0.8007467165293904,0.8007467165293904,0.8007467165293904,0.8007467165293904,0.8007467165293904,1.0
SMALL,P_CMATCH,1.2011200747940858,1.1068046567779704,1.1810655403414207,1.2463743413019157,0.9933844600226178,0.9833034724225194
SMALL,P_CMNORM,0.8011169837824526,0.8620185298416537,0.9162689144757291,0.9372330590790615,0.9406441938446676,1.1437392203939927
SMALL,P_ELAST,0.7956172040619225,0.855647197978657,0.8959722065323736,0.9057875807279737,0.9292415454322136,1.126134781849992
