panel,form,spread,off0,off1,off2,off3,off4
U56,BAND-RS,0.029568382230223955,1.1562926743517894,1.154257437207232,1.1762961144203328,1.152074801696463,1.1467277321901088
U56,EW-0375,0.029340266161871353,1.1244785362489869,1.1331847958947172,1.1314512727538306,1.130149950375022,1.1538188024108582
U56,EW-100,0.029729047913572115,1.12268471256205,1.1372782619290602,1.133148508677743,1.131835719349611,1.1524137604756222
U56,EWall,0.029628757795625793,1.1236187911074496,1.1358277540710497,1.1326542407863365,1.131356217760367,1.1532475489030753
U56,LOWVOL20,0.04205305487228339,0.9989563240820393,0.9844432973228614,1.0122592104174537,0.993650229060263,0.9702061555451703
U56,MA-DG,0.020735105314092506,1.1728857763789264,1.1761278034507139,1.1668186924902477,1.1789363481241264,1.158201242810034
U56,MA-RS,0.0264348456936494,1.1045018095896362,1.113671839532785,1.0894159931950096,1.0872369938391355,1.1091812108686443
U56,TOP10,0.08234721253220789,0.9197592942321491,0.8704721673287484,0.8374120816999412,0.8743647359706309,0.904783861404373
U56,TOP20,0.06976504337192813,1.01277939106636,1.037950694985743,1.0525934501431968,1.0825444344382882,1.0745481645009487
U56,VOLCAP-DG,0.03783553815798779,1.1461433412294906,1.121288477816604,1.135125354313601,1.1083078030715028,1.142182911774417
B136,BAND-RS,0.018109978521088754,1.088998053955151,1.082620801303996,1.0767670273162708,1.0708880754340622,1.080254588230384
B136,EW-0375,0.03209303471498126,1.1181360647232452,1.1245697930492904,1.1270589186027127,1.1251313650297707,1.1502290994382265
B136,EW-100,0.03314990408954732,1.1167641688557794,1.1295323884612123,1.12883659585972,1.1277762495355705,1.1499140729453268
B136,EWall,0.03278344441147252,1.117567765381285,1.12774251511093,1.128330872822157,1.126925660334055,1.1503512097927575
B136,LOWVOL20,0.06278865179297577,0.7937220412284667,0.8565106930214424,0.8278865145753684,0.8411419869573759,0.8460700536440726
B136,MA-DG,0.05205330665078978,1.0918112637876887,1.1163835120895647,1.0852810315223813,1.1070476280303447,1.0643302054387749
B136,MA-RS,0.03772060771571395,1.0610790960182985,1.079224820311719,1.0473272042129091,1.041504212596005,1.0732043742636983
B136,TOP10,0.04442914383484775,0.7280383748040344,0.7204849376679249,0.7617363072311463,0.7173071633962985,0.756328270082983
B136,TOP20,0.04600250394746541,0.8631219291113768,0.8298308023758795,0.8376970484696687,0.8276375630873322,0.8736400670347976
B136,VOLCAP-DG,0.033798028631912835,1.1361822622536502,1.1054512207185028,1.1392492493504156,1.1169559494861112,1.135306580582898
SMALL,BAND-RS,0.05257034927556148,0.6624226871685696,0.6642741417016258,0.6451458862095324,0.6117037924260643,0.6311450093928438
SMALL,EW-0375,0.02119662504658859,0.7108627927962723,0.7062593735228975,0.7066986077132825,0.7187656318151131,0.7274559985694861
SMALL,EW-100,0.011028489782154205,0.7099232119839112,0.7076511853028206,0.7085968534492719,0.7167057839138189,0.7186796750849748
SMALL,EWall,0.015211139971457621,0.7104492604310575,0.7072885142933601,0.7079646590834737,0.7177978951458939,0.7224996542648178
SMALL,LOWVOL20,0.0924902860996305,0.8343828384238743,0.8206724313176907,0.912530194125837,0.8724735732814227,0.8200399080262065
SMALL,MA-DG,0.062290145767358585,0.6360919693038865,0.6141122903833159,0.5921738539328755,0.6544639997002341,0.5978306962271227
SMALL,MA-RS,0.03623401970218654,0.579850250476495,0.5978254668634887,0.5615914471613022,0.5667088106614526,0.5822039715032323
SMALL,TOP10,0.1265614910088717,0.6171209279865169,0.678962396146279,0.6949583404921762,0.6131302895155925,0.7396917805244642
SMALL,TOP20,0.08606399550897981,0.5818259059477232,0.5124034880257031,0.5984674835346829,0.5910149016278656,0.5331287085026525
SMALL,VOLCAP-DG,0.031189359136416517,0.5516179500014615,0.5284521446370813,0.5585135927625449,0.5273242336261283,0.5445082158144107
