panel,book,dial,n_arms,argmax_0,argmax_10,argmax_30,distinct_argmax_headline,distinct_argmax_all,rerank_headline,rerank_all,cost_of_ignoring_rung_10,cost_of_ignoring_rung_30,max_cost_of_ignoring,turn_yr_at_default,turn_yr_median
U56,V1C,N,9,40.0,40.0,40.0,1,1,False,False,0.0,0.0,0.0,14.151805773966812,17.075524213544966
U56,V1C,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,14.151805773966812,13.40162176717519
U56,V1C,V,8,5.0,5.0,5.0,1,1,False,False,0.0,0.0,0.0,14.151805773966812,14.109367381437883
U56,V1C,K,7,2.0,6.0,6.0,2,2,True,True,0.0136889642042195,0.08251877475392488,0.08251877475392488,14.151805773966812,6.767986967287776
U56,V1C,GROSS,5,0.25,0.5,0.75,3,3,True,True,4.136026616530231e-06,0.001765057437962514,0.001765057437962514,14.151805773966812,10.618243262498575
U56,TOPN,N,9,40.0,40.0,40.0,1,1,False,False,0.0,0.0,0.0,12.832255465220616,15.256949673145595
U56,TOPN,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,12.832255465220616,12.00078658037604
U56,TOPN,V,8,5.0,5.0,5.0,1,1,False,False,0.0,0.0,0.0,12.832255465220616,12.878094034300103
U56,TOPN,K,7,1.0,6.0,6.0,2,2,True,True,0.04713820806795521,0.15513557482842433,0.15513557482842433,12.832255465220616,5.898112695912239
U56,TOPN,GROSS,5,0.75,1.0,1.0,2,3,True,True,0.00010898854479490794,0.00034671329966973197,0.00034671329966973197,12.832255465220616,9.630697602931692
U56,EWALL,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,10.859235558641757,6.407817984928796
U56,EWALL,V,8,5.0,5.0,5.0,1,1,False,False,0.0,0.0,0.0,10.859235558641757,11.079551494261661
U56,EWALL,K,7,4.0,4.0,4.0,1,1,False,False,0.0,0.0,0.0,10.859235558641757,4.936244007179619
U56,EWALL,GROSS,5,0.25,1.0,1.0,2,2,True,True,0.0006238699914298262,0.005243454218175847,0.005243454218175847,10.859235558641757,8.20875960510643
B136,V1C,N,10,25.0,56.0,56.0,2,3,True,True,0.028282967743608167,0.14878346641709894,0.14878346641709894,23.737389307752142,25.291606388518836
B136,V1C,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,23.737389307752142,23.652193227391237
B136,V1C,V,8,0.2,0.8,5.0,3,3,True,True,0.02378269677885947,0.14084355306721696,0.14084355306721696,23.737389307752142,23.816971290818472
B136,V1C,K,7,2.0,4.0,4.0,2,2,True,True,0.025948691310354155,0.1046379630306804,0.1046379630306804,23.737389307752142,12.070199014188601
B136,V1C,GROSS,5,0.25,0.9,1.0,3,4,True,True,0.0007291107611735459,0.003466915381684532,0.003466915381684532,23.737389307752142,17.808370476174616
B136,TOPN,N,10,40.0,56.0,56.0,2,2,True,True,0.0012096344545082793,0.017702867937430367,0.017702867937430367,18.349650059898526,19.273054282666784
B136,TOPN,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,18.349650059898526,18.26146706459394
B136,TOPN,V,8,0.8,0.8,0.8,1,1,False,False,0.0,0.0,0.0,18.349650059898526,18.636164134459218
B136,TOPN,K,7,4.0,4.0,4.0,1,1,False,False,0.0,0.0,0.0,18.349650059898526,8.820363721435402
B136,TOPN,GROSS,5,1.0,1.0,1.0,1,1,False,False,0.0,0.0,0.0,18.349650059898526,13.77325913183038
B136,EWALL,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,10.912638352483793,6.831468628254063
B136,EWALL,V,8,0.8,0.8,5.0,2,2,True,True,0.0,0.004377581262932861,0.004377581262932861,10.912638352483793,11.100617526621937
B136,EWALL,K,7,4.0,4.0,4.0,1,1,False,False,0.0,0.0,0.0,10.912638352483793,4.949652016379606
B136,EWALL,GROSS,5,0.25,0.75,1.0,3,3,True,True,0.0001688406519773089,0.005737741003266961,0.005737741003266961,10.912638352483793,8.266497294317862
SMALL439,V1C,N,10,3.0,3.0,40.0,2,2,True,True,0.0,0.08464590911207395,0.08464590911207395,32.41318000334677,33.4960736000785
SMALL439,V1C,G,7,0.08,0.08,0.08,1,1,False,False,0.0,0.0,0.0,32.41318000334677,32.26211865034143
SMALL439,V1C,V,8,0.6,5.0,5.0,2,2,True,True,0.00046395904129570287,0.012052528981986096,0.012052528981986096,32.41318000334677,32.37251812397943
SMALL439,V1C,K,7,1.0,3.0,8.0,3,3,True,True,0.005970595037588011,0.29132560886609454,0.29132560886609454,32.41318000334677,16.19425998652965
SMALL439,V1C,GROSS,5,0.25,0.25,0.5,2,2,True,True,0.0,7.495570701476773e-05,7.495570701476773e-05,32.41318000334677,24.297767422289077
SMALL439,TOPN,N,10,15.0,15.0,15.0,1,1,False,False,0.0,0.0,0.0,26.933992671884695,27.969720904927104
SMALL439,TOPN,G,7,0.02,0.02,0.02,1,1,False,False,0.0,0.0,0.0,26.933992671884695,26.892234154764775
SMALL439,TOPN,V,8,5.0,5.0,5.0,1,1,False,False,0.0,0.0,0.0,26.933992671884695,26.214089753400195
SMALL439,TOPN,K,7,6.0,6.0,6.0,1,1,False,False,0.0,0.0,0.0,26.933992671884695,13.593374834555387
SMALL439,TOPN,GROSS,5,1.0,1.0,1.0,1,1,False,False,0.0,0.0,0.0,26.933992671884695,20.19590102343125
SMALL439,EWALL,G,7,0.12,0.12,0.12,1,1,False,False,0.0,0.0,0.0,17.632686618078484,13.998749775323933
SMALL439,EWALL,V,8,5.0,5.0,5.0,1,1,False,False,0.0,0.0,0.0,17.632686618078484,18.75941369611482
SMALL439,EWALL,K,7,8.0,8.0,13.0,2,2,True,True,0.0,0.011814393544762491,0.011814393544762491,17.632686618078484,8.766967350419812
SMALL439,EWALL,GROSS,5,0.25,1.0,1.0,2,2,True,True,0.002037481538682606,0.008173298198218049,0.008173298198218049,17.632686618078484,13.328333059696345
