family,cost_bps,arm,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,OOS_margin,pass4a,pass4b
ALL,0,CONST-W,115,0.7444916835005144,0.058807840883909425,-0.16357660020316797,-0.5928154451760206,15,18
ALL,0,CONST-M,115,0.7867195031596051,0.06331093868225496,-0.17047827391959933,-0.5351425594058934,22,18
ALL,0,CONST-6W,115,0.8031736455711047,0.06732359398901815,-0.20083088299126794,-0.5689903659838341,12,10
ALL,0,SEL-SHARPE,115,0.7531506220813583,0.06063959938461719,-0.1755534148133457,-0.5619112918070543,19,18
ALL,0,SEL-4B,115,0.7354048885447362,0.060479832152876445,-0.18277315950704023,-0.5684607277015615,17,17
ALL,0,ORACLE,115,0.8750461366020917,0.07447405345160377,-0.17682662995160975,-0.49919340022407477,13,11
ALL,10,CONST-W,115,0.6797916134382441,0.05255141580310997,-0.17046582350476322,-0.6468847257985983,31,10
ALL,10,CONST-M,115,0.7558913233285968,0.06023180912503775,-0.17318304047318572,-0.5596465664357122,47,18
ALL,10,CONST-6W,115,0.7797167509920105,0.06487701599169463,-0.20258238575531998,-0.5868123868908167,26,10
ALL,10,SEL-SHARPE,115,0.7186338265519252,0.05754864096544109,-0.17982537337200255,-0.5893073839144206,42,17
ALL,10,SEL-4B,115,0.7042237062885824,0.057583185012740214,-0.18711891841990957,-0.5885537733306462,38,17
ALL,10,ORACLE,115,0.8427336053951494,0.07140495244724702,-0.18236706773654365,-0.5236291112154972,27,10
ALL,25,CONST-W,115,0.5826319238830383,0.043260402061558165,-0.1818652502393395,-0.7317163601902902,52,4
ALL,25,CONST-M,115,0.7094976446033614,0.05563365485913223,-0.17727824088042513,-0.597073328728756,80,17
ALL,25,CONST-6W,115,0.7444384436828805,0.06121961936043085,-0.2053317923515718,-0.6136990182790051,66,8
ALL,25,SEL-SHARPE,115,0.6666887708618935,0.05333957248165881,-0.1878047932648906,-0.6243114915762125,71,17
ALL,25,SEL-4B,115,0.6405219804896067,0.05172572202136438,-0.1976591601613334,-0.6326485816530598,60,17
ALL,25,ORACLE,115,0.8025731479659828,0.06732228978035754,-0.19088264693290122,-0.5561058125134194,76,8
SMALL,0,CONST-W,49,0.27870648983188145,0.025595235807777384,-0.22549061628707046,-1.0199804038046043,0,0
SMALL,0,CONST-M,49,0.33850386041068325,0.029877403980645402,-0.2414877151620992,-0.9267545881059681,0,0
SMALL,0,CONST-6W,49,0.24828206716019474,0.02229668993849712,-0.29002247906694356,-1.0341042419905468,0,0
SMALL,0,SEL-SHARPE,49,0.289576563031824,0.025506580364892235,-0.247563610494845,-0.9762353880886693,0,0
SMALL,0,SEL-4B,49,0.2812026885947876,0.025425474231784508,-0.2521993947799064,-0.9704782027225822,0,0
SMALL,0,ORACLE,49,0.4150229681062364,0.039813079058638866,-0.23605357463883436,-0.872930159153991,0,0
SMALL,10,CONST-W,49,0.20520275926815387,0.017313920195450555,-0.24041823877816867,-1.1117004956557075,0,0
SMALL,10,CONST-M,49,0.3030347243140429,0.0257773478141822,-0.2467130175181372,-0.9678058056557199,2,0
SMALL,10,CONST-6W,49,0.22151772616081009,0.019082118128483472,-0.2936359038866023,-1.0626853016735576,0,0
SMALL,10,SEL-SHARPE,49,0.2524910966973423,0.021288060736987562,-0.2547622769531233,-1.02070169772499,1,0
SMALL,10,SEL-4B,49,0.24971803397975628,0.02169392931284913,-0.25897951070316827,-1.0019855076494855,2,0
SMALL,10,ORACLE,49,0.36919530403272866,0.03460304080194971,-0.2465736864698513,-0.9125464623428475,1,0
SMALL,25,CONST-W,49,0.09492828877265924,0.005047773386987867,-0.26501276453700484,-1.2503769977684038,4,0
SMALL,25,CONST-M,49,0.24973800445082295,0.019661756196393074,-0.25462206705971147,-1.0301475531780353,28,0
SMALL,25,CONST-6W,49,0.18135083395677928,0.014280967153023266,-0.2993429517602529,-1.1059443125207373,19,0
SMALL,25,SEL-SHARPE,49,0.20767683138396356,0.016293917178083574,-0.26280972172359596,-1.0721096108204045,27,0
SMALL,25,SEL-4B,49,0.1922982284968151,0.014887979650342633,-0.2721556874560405,-1.0696553532889495,22,0
SMALL,25,ORACLE,49,0.31778942564161167,0.028603560995708353,-0.2654316921041892,-0.9707765847035466,29,0
U56,0,CONST-W,33,1.282513258557552,0.11810996329684838,-0.13991116546355073,-0.0027577478230440123,14,18
U56,0,CONST-M,33,1.2976594277378408,0.12405510889805785,-0.14082089502384756,0.02846176090155992,14,18
U56,0,CONST-6W,33,1.408241460280333,0.14239395513428715,-0.16118486965118203,0.0060999770483522245,11,10
U56,0,SEL-SHARPE,33,1.2533265867549834,0.1212359070175597,-0.14948520809888646,0.008648275235464215,11,18
U56,0,SEL-4B,33,1.226040199871074,0.12169117722507099,-0.16239928457085154,-0.01448030056004219,9,17
U56,0,ORACLE,33,1.4103893988837048,0.1413260777784012,-0.15812603035366443,0.010225749935554942,12,11
U56,10,CONST-W,33,1.2230250732965675,0.1118579068751881,-0.14053339817181365,-0.024902838806283068,14,10
U56,10,CONST-M,33,1.2699198629948023,0.12100574476705339,-0.14126451808810853,0.018752461828073275,16,18
U56,10,CONST-6W,33,1.38702396443922,0.13991261109568304,-0.16156253661256864,-0.0018126421095938532,13,10
U56,10,SEL-SHARPE,33,1.2235917029628571,0.11846455557523382,-0.1513624280905327,-0.004743341705518158,13,17
U56,10,SEL-4B,33,1.1901949270437715,0.11869136664335861,-0.16632914831590218,-0.023351651026075764,9,17
U56,10,ORACLE,33,1.3873042815274936,0.13966940758628466,-0.16144972542325042,-0.0040612987204040486,13,10
U56,25,CONST-W,33,1.133574146927459,0.10255356134671927,-0.1414662304068411,-0.0696785820853605,17,4
U56,25,CONST-M,33,1.228101050601716,0.11644753239309122,-0.14192995268450012,0.0029449631473507367,19,17
U56,25,CONST-6W,33,1.3550320074842725,0.13620054235149556,-0.16212903705464846,-0.013667134352286479,16,8
U56,25,SEL-SHARPE,33,1.1490101284005068,0.11357726108899693,-0.1654519482056118,-0.02852647567407683,11,17
U56,25,SEL-4B,33,1.1268452080020188,0.11249742595535965,-0.17094773032828917,-0.03851061783487503,9,17
U56,25,ORACLE,33,1.3550320074842725,0.13620054235149556,-0.16212903705464846,-0.013667134352286479,16,8
ETF,0,CONST-W,33,0.8980905475272047,0.048821404796136225,-0.09530910196971783,-0.5485979009289786,1,0
ETF,0,CONST-M,33,0.9413118966024961,0.05221050181126624,-0.09469739157648771,-0.5172623522495989,8,0
ETF,0,CONST-6W,33,1.0220357503205009,0.059111363100583375,-0.10804089003716902,-0.45345707494544746,1,0
ETF,0,SEL-SHARPE,33,0.9413118966024961,0.05221050181126624,-0.09469739157648771,-0.5172623522495989,8,0
ETF,0,SEL-4B,33,0.919191025628928,0.05131889732715172,-0.10005959418957933,-0.5255061161755048,8,0
ETF,0,ORACLE,33,1.0227675790567485,0.05908832443557247,-0.10758419046852463,-0.453670090154435,1,0
ETF,10,CONST-W,33,0.8412506946203576,0.045567266693920076,-0.09652951100750473,-0.5786856211849023,17,0
ETF,10,CONST-M,33,0.9142862185627896,0.05061752815671672,-0.0959206878521228,-0.5319909667667584,29,0
ETF,10,CONST-6W,33,1.0012505138093113,0.057839905593686416,-0.10840155646071263,-0.4652129551764545,13,0
ETF,10,SEL-SHARPE,33,0.9058272762887076,0.05047419396759454,-0.09701837091180808,-0.5333162328894473,28,0
ETF,10,SEL-4B,33,0.8931245444161965,0.04976511033044497,-0.10120659695180563,-0.5398724113436069,27,0
ETF,10,ORACLE,33,1.0012955585585213,0.05778576005425701,-0.1079473095064406,-0.4657135841578578,13,0
ETF,25,CONST-W,33,0.7558557044873625,0.04070720656591057,-0.09880280944803174,-0.6236216764368088,31,0
ETF,25,CONST-M,33,0.8735676436799884,0.04823259655166469,-0.09778266596165223,-0.5540420146044173,33,0
ETF,25,CONST-6W,33,0.9699446640202446,0.05593548298036527,-0.10894222004166562,-0.4828212228770906,31,0
ETF,25,SEL-SHARPE,33,0.8659305961844491,0.048109069022053634,-0.09878668394609201,-0.5551841486006086,33,0
ETF,25,SEL-4B,33,0.8197431119967943,0.04565248403221953,-0.11375453431435789,-0.5778977027391663,29,0
ETF,25,ORACLE,33,0.9699446640202446,0.05593548298036527,-0.10894222004166562,-0.4828212228770906,31,0
