rung,pts,pas,fl,pass_rate,flip_rate,flips_per_pass
0.0,8342,1606,974,0.19251977942939344,0.11675857108607049,0.6064757160647571
0.03,3,0,0,0.0,0.0,
0.06,6,0,0,0.0,0.0,
0.12,6,3,0,0.5,0.0,0.0
0.2,3,0,0,0.0,0.0,
0.3,9,0,0,0.0,0.0,
0.5,6,0,0,0.0,0.0,
1.0,1223,510,313,0.4170073589533933,0.2559280457890433,0.6137254901960785
2.0,1204,469,302,0.38953488372093026,0.25083056478405313,0.6439232409381663
3.0,60,0,0,0.0,0.0,
5.0,4711,919,718,0.19507535555083846,0.15240925493525792,0.7812840043525572
10.0,53008,8135,4235,0.15346740114699667,0.07989360096589194,0.5205900430239705
15.0,1403,174,217,0.1240199572344975,0.15466856735566642,1.2471264367816093
20.0,926,66,73,0.07127429805615551,0.07883369330453564,1.106060606060606
25.0,34341,2629,975,0.07655572056725198,0.028391718354153928,0.3708634461772537
30.0,593,5,9,0.008431703204047217,0.01517706576728499,1.8
40.0,141,17,9,0.12056737588652482,0.06382978723404255,0.5294117647058824
50.0,1976,33,23,0.016700404858299597,0.011639676113360324,0.696969696969697
100.0,20,0,0,0.0,0.0,
