offset,ends,band_cell
0,2015-03-31;2015-09-30;2016-03-31;2016-09-30;2017-03-31;2017-09-30,0.019578571262395244
1,2015-06-30;2015-12-31;2016-06-30;2016-12-31;2017-06-30;2017-12-31,0.01829095227610482
2,2015-09-30;2016-03-31;2016-09-30;2017-03-31;2017-09-30;2018-03-31,0.022848828978705715
3,2015-12-31;2016-06-30;2016-12-31;2017-06-30;2017-12-31;2018-06-30,0.01901207911805528
