panel,ladder,K,E_PR_RAW,E_PR_XS,E_PR_RESID,E_ENT_RAW,E_ENT_XS,E_SL_BAR,share_E_PR_RAW,share_E_PR_XS,share_E_PR_RESID,share_E_ENT_RAW,share_E_ENT_XS,share_E_SL_BAR
U56,N,6,1.2021563092463654,2.107453922398395,1.43820163036048,1.4619063630808433,2.7719917059228973,5.0,0.20035938487439423,0.3512423203997325,0.23970027172674668,0.24365106051347388,0.4619986176538162,0.8333333333333334
U56,H,4,1.0780838170758893,2.5689172548174892,1.3050147567700743,1.214325402048557,2.7717490927074335,4.0,0.2695209542689723,0.6422293137043723,0.32625368919251857,0.30358135051213925,0.6929372731768584,1.0
U56,GROSS,10,1.0000245524771867,1.0001762462018684,1.0000902567063243,1.0001511163606052,1.0009112649658172,1.0,0.10000245524771867,0.10001762462018685,0.10000902567063244,0.10001511163606051,0.10009112649658172,0.1
U56,CADENCE,2,1.0342982173066744,1.0,1.1321899117959777,1.089341072910444,1.0,2.0,0.5171491086533372,0.5,0.5660949558979889,0.544670536455222,0.5,1.0
U56,UNION,19,1.1026749709992025,3.363591998495741,1.2729000081005777,1.30801490846699,4.826218236383379,8.0,0.05803552478943171,0.17703115781556533,0.06699473726845145,0.06884288991931527,0.254011486125441,0.42105263157894735
B136,N,6,1.1551421479037027,2.364407287310369,1.3397381829635029,1.3802904976054127,3.0011660330631784,4.0,0.19252369131728378,0.39406788121839487,0.2232896971605838,0.23004841626756878,0.5001943388438631,0.6666666666666666
B136,H,4,1.1546170450469901,2.572416648372069,1.588608639161999,1.3831997984535584,2.767526941921669,2.0,0.28865426126174754,0.6431041620930172,0.3971521597904997,0.3457999496133896,0.6918817354804172,0.5
B136,GROSS,10,1.0000291305410607,1.0002104176085285,1.000083761267215,1.0001768084016849,1.0010693653450282,1.0,0.10000291305410607,0.10002104176085284,0.1000083761267215,0.10001768084016849,0.10010693653450282,0.1
B136,CADENCE,2,1.086314390556015,1.0,1.2955958679003374,1.1882863398275452,1.0,2.0,0.5431571952780075,0.5,0.6477979339501687,0.5941431699137726,0.5,1.0
B136,UNION,19,1.1244490228178197,3.3488339929113824,1.3556816071655073,1.367754407175543,4.639809536048045,4.0,0.05918152751672735,0.17625442067954644,0.0713516635350267,0.07198707406187069,0.2442005018972655,0.21052631578947367
SMALL663,N,6,1.1811713071382253,2.3954983127776894,1.3482141276516029,1.4376626940044324,3.0647674823561832,3.0,0.19686188452303754,0.39924971879628157,0.22470235460860047,0.23961044900073872,0.5107945803926972,0.5
SMALL663,H,4,1.2633988984545144,2.8549912785231495,1.6679191367637252,1.5981657129881202,2.9215711059393454,4.0,0.3158497246136286,0.7137478196307874,0.4169797841909313,0.39954142824703004,0.7303927764848364,1.0
SMALL663,GROSS,10,1.0000530476973453,1.0003892178296576,1.000121046534463,1.0003061041789876,1.0018588932843493,1.0,0.10000530476973453,0.10003892178296576,0.1000121046534463,0.10003061041789876,0.10018588932843493,0.1
SMALL663,CADENCE,2,1.14759163143389,1.0,1.363653792211589,1.285623202374899,1.0,2.0,0.573795815716945,0.5,0.6818268961057945,0.6428116011874495,0.5,1.0
SMALL663,UNION,19,1.1751022306176309,3.9481213555928623,1.3835330406787918,1.5170873810646035,5.501123829920807,7.0,0.061847485821980575,0.20779586082067697,0.07281752845677851,0.07984670426655809,0.2895328331537267,0.3684210526315789
