label,n_rows
bstk100,3720
BSTK100,2321
B80held,889
ETF36,635
STK20,194
ETF24,189
small(sub-$2B),174
"universe_broad.json (136, PRIMARY)",156
universe.json (56),156
universe_broad(136),141
SMALL480,124
prices_small(439),96
B136k20d00,84
B136k20d01,84
B136k20d02,84
B136k20d03,84
B136k20d04,84
B136k20d05,84
B136k20d06,84
B136k20d07,84
B136k20d08,84
B136k20d09,84
B136k20d10,84
B136k20d11,84
B136k20d12,84
B136k20d13,84
B136k20d14,84
B136k20d15,84
B136k20d16,84
B136k20d17,84
B136k20d18,84
B136k20d19,84
B136k20d20,84
B136k20d21,84
B136k20d22,84
B136k20d23,84
B136k40d00,84
B136k40d01,84
B136k40d02,84
B136k40d03,84
B136k40d04,84
B136k40d05,84
B136k40d06,84
B136k40d07,84
B136k40d08,84
B136k40d09,84
B136k40d10,84
B136k40d11,84
B136k40d12,84
B136k40d13,84
B136k40d14,84
B136k40d15,84
B136k40d16,84
B136k40d17,84
B136k40d18,84
B136k40d19,84
B136k40d20,84
B136k40d21,84
B136k40d22,84
B136k40d23,84
B136k80d00,84
B136k80d01,84
B136k80d02,84
B136k80d03,84
B136k80d04,84
B136k80d05,84
B136k80d06,84
B136k80d07,84
B136k80d08,84
B136k80d09,84
B136k80d10,84
B136k80d11,84
B136k80d12,84
B136k80d13,84
B136k80d14,84
B136k80d15,84
B136k80d16,84
B136k80d17,84
B136k80d18,84
B136k80d19,84
B136k80d20,84
B136k80d21,84
B136k80d22,84
B136k80d23,84
"universe_broad.json (136, the H2-bound cell)",48
"universe.json (56, control)",48
MIX00~0,36
MIX00~1,36
MIX00~2,36
MIX50~0,36
MIX50~1,36
MIX50~2,36
B80_s0,33
B80_s1,33
B80_s2,33
B80_s3,33
B80_s4,33
B80_s5,33
B80_s6,33
B80_s7,33
B80_s8,33
B80_s9,33
SM200_s0,33
SM200_s1,33
SM200_s2,33
SM200_s3,33
SM200_s4,33
SM200_s5,33
SM200_s6,33
SM200_s7,33
SM200_s8,33
SM200_s9,33
U56~0.85~s0,26
B136~0.85~s0,26
MIX~s0.125~1,25
MIX~s0.125~5,25
MIX~s0.500~4,25
U56~0.70~s1,25
BSTK100~0.25~s1,25
BSTK100~0.85~s0,25
MIX~s0.625~1,24
MIX~s0.250~1,23
U56~0.55~s0,23
B136~0.70~s0,23
BSTK100~0.40~s0,23
U56~0.70~s0,22
B136~0.25~s0,22
B136~0.40~s0,22
B136~0.55~s1,22
B136~0.85~s1,22
MIX~s0.000~2,21
mega20,20
broad98,20
broad78,20
smADV5,20
smADV4,20
smADV3,20
smADV2,20
smADV1,20
MIX~s0.000~0,20
MIX~s0.000~1,20
MIX~s0.000~3,20
MIX~s0.000~4,20
MIX~s0.000~5,20
MIX~s0.125~0,20
MIX~s0.125~2,20
MIX~s0.125~3,20
MIX~s0.125~4,20
MIX~s0.250~0,20
MIX~s0.250~2,20
MIX~s0.250~3,20
MIX~s0.250~4,20
MIX~s0.250~5,20
MIX~s0.375~0,20
MIX~s0.375~1,20
MIX~s0.375~2,20
MIX~s0.375~3,20
MIX~s0.375~4,20
MIX~s0.375~5,20
MIX~s0.500~0,20
MIX~s0.500~1,20
MIX~s0.500~2,20
MIX~s0.500~3,20
MIX~s0.500~5,20
MIX~s0.625~0,20
MIX~s0.625~2,20
MIX~s0.625~3,20
MIX~s0.625~4,20
MIX~s0.625~5,20
MIX~s0.750~0,20
MIX~s0.750~1,20
MIX~s0.750~2,20
MIX~s0.750~3,20
MIX~s0.750~4,20
MIX~s0.750~5,20
MIX~s0.875~0,20
MIX~s0.875~1,20
MIX~s0.875~2,20
MIX~s0.875~3,20
MIX~s0.875~4,20
MIX~s0.875~5,20
U56~0.25~s0,20
U56~0.25~s1,20
U56~0.40~s0,20
U56~0.40~s1,20
U56~0.55~s1,20
U56~0.85~s1,20
B136~0.25~s1,20
B136~0.40~s1,20
B136~0.55~s0,20
B136~0.70~s1,20
BSTK100~0.25~s0,20
BSTK100~0.40~s1,20
BSTK100~0.55~s0,20
BSTK100~0.55~s1,20
BSTK100~0.70~s0,20
BSTK100~0.70~s1,20
BSTK100~0.85~s1,20
SMALL439~0.25~s0,20
SMALL439~0.25~s1,20
SMALL439~0.40~s0,20
SMALL439~0.40~s1,20
SMALL439~0.55~s0,20
SMALL439~0.55~s1,20
SMALL439~0.70~s0,20
SMALL439~0.70~s1,20
SMALL439~0.85~s0,20
SMALL439~0.85~s1,20
ETF36~0.40~s0,20
ETF36~0.40~s1,20
ETF36~0.55~s0,20
ETF36~0.55~s1,20
ETF36~0.70~s0,20
ETF36~0.70~s1,20
ETF36~0.85~s0,20
ETF36~0.85~s1,20
B100,10
BXU80,10
q0.500~s00,10
q0.500~s01,10
q0.500~s02,10
q0.500~s03,10
q0.500~s04,10
q0.500~s05,10
q0.500~s06,10
q0.500~s07,10
q0.500~s08,10
q0.500~s09,10
q0.500~s10,10
q0.500~s11,10
q0.500~s12,10
q0.500~s13,10
q0.500~s14,10
q0.500~s15,10
q0.500~s16,10
q0.500~s17,10
q0.500~s18,10
q0.500~s19,10
q0.500~s20,10
q0.500~s21,10
q0.500~s22,10
q0.500~s23,10
q0.500~s24,10
q0.500~s25,10
q0.500~s26,10
q0.500~s27,10
q0.500~s28,10
q0.500~s29,10
q0.500~s30,10
q0.500~s31,10
q0.500~s32,10
q0.500~s33,10
q0.500~s34,10
q0.500~s35,10
q0.500~s36,10
q0.500~s37,10
q0.500~s38,10
q0.500~s39,10
q0.500~s40,10
q0.500~s41,10
q0.500~s42,10
q0.500~s43,10
q0.500~s44,10
q0.500~s45,10
q0.500~s46,10
q0.500~s47,10
q0.500~s48,10
q0.500~s49,10
q0.500~s50,10
q0.500~s51,10
q0.500~s52,10
q0.500~s53,10
q0.500~s54,10
q0.500~s55,10
q0.500~s56,10
q0.500~s57,10
q0.500~s58,10
q0.500~s59,10
q0.000~s00,10
q0.000~s01,10
q0.000~s02,10
q0.000~s03,10
q0.000~s04,10
q0.000~s05,10
q0.000~s06,10
q0.000~s07,10
q0.000~s08,10
q0.000~s09,10
q0.000~s10,10
q0.000~s11,10
q0.000~s12,10
q0.000~s13,10
q0.000~s14,10
q0.000~s15,10
q0.000~s16,10
q0.000~s17,10
q0.000~s18,10
q0.000~s19,10
q1.000~s00,10
q1.000~s01,10
q1.000~s02,10
q1.000~s03,10
q1.000~s04,10
q1.000~s05,10
q1.000~s06,10
q1.000~s07,10
q1.000~s08,10
q1.000~s09,10
q1.000~s10,10
q1.000~s11,10
q1.000~s12,10
q1.000~s13,10
q1.000~s14,10
q1.000~s15,10
q1.000~s16,10
q1.000~s17,10
q1.000~s18,10
q1.000~s19,10
k20~q0.250~s00,5
k20~q0.250~s01,5
k20~q0.250~s02,5
k20~q0.250~s03,5
k20~q0.250~s04,5
k20~q0.250~s05,5
k20~q0.250~s06,5
k20~q0.250~s07,5
k20~q0.250~s08,5
k20~q0.250~s09,5
k20~q0.250~s10,5
k20~q0.250~s11,5
k20~q0.250~s12,5
k20~q0.250~s13,5
k20~q0.250~s14,5
k20~q0.250~s15,5
k20~q0.250~s16,5
k20~q0.250~s17,5
k20~q0.250~s18,5
k20~q0.250~s19,5
k20~q0.250~s20,5
k20~q0.250~s21,5
k20~q0.250~s22,5
k20~q0.250~s23,5
k20~q0.250~s24,5
k20~q0.250~s25,5
k20~q0.250~s26,5
k20~q0.250~s27,5
k20~q0.250~s28,5
k20~q0.250~s29,5
k20~q0.250~s30,5
k20~q0.250~s31,5
k20~q0.250~s32,5
k20~q0.250~s33,5
k20~q0.250~s34,5
k20~q0.250~s35,5
k20~q0.250~s36,5
k20~q0.250~s37,5
k20~q0.250~s38,5
k20~q0.250~s39,5
k20~q0.250~s40,5
k20~q0.250~s41,5
k20~q0.250~s42,5
k20~q0.250~s43,5
k20~q0.250~s44,5
k20~q0.250~s45,5
k20~q0.250~s46,5
k20~q0.250~s47,5
k20~q0.250~s48,5
k20~q0.250~s49,5
k20~q0.250~s50,5
k20~q0.250~s51,5
k20~q0.250~s52,5
k20~q0.250~s53,5
k20~q0.250~s54,5
k20~q0.250~s55,5
k20~q0.250~s56,5
k20~q0.250~s57,5
k20~q0.250~s58,5
k20~q0.250~s59,5
k20~q0.500~s00,5
k20~q0.500~s01,5
k20~q0.500~s02,5
k20~q0.500~s03,5
k20~q0.500~s04,5
k20~q0.500~s05,5
k20~q0.500~s06,5
k20~q0.500~s07,5
k20~q0.500~s08,5
k20~q0.500~s09,5
k20~q0.500~s10,5
k20~q0.500~s11,5
k20~q0.500~s12,5
k20~q0.500~s13,5
k20~q0.500~s14,5
k20~q0.500~s15,5
k20~q0.500~s16,5
k20~q0.500~s17,5
k20~q0.500~s18,5
k20~q0.500~s19,5
k20~q0.500~s20,5
k20~q0.500~s21,5
k20~q0.500~s22,5
k20~q0.500~s23,5
k20~q0.500~s24,5
k20~q0.500~s25,5
k20~q0.500~s26,5
k20~q0.500~s27,5
k20~q0.500~s28,5
k20~q0.500~s29,5
k20~q0.500~s30,5
k20~q0.500~s31,5
k20~q0.500~s32,5
