corpus,dial,arm,n,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,OOS_margin,pass4a,pass4b
A,GROSS,SEL-SHARPE,53,0.9632676539083957,0.13004661621337915,-0.22250625554724443,-0.2290483363183027,17,2
A,GROSS,SEL-4B,53,0.9633161214130416,0.1081510073473933,-0.1860540604041978,-0.12305006429455671,41,6
A,GROSS,CONST-INC,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,GROSS,RANDOM,53,0.9640065934919767,0.0824283866277184,-0.14186501944290064,-0.33826136710489274,42,4
A,GROSS,ORACLE,53,0.965289711673376,0.06624346397292863,-0.1111794701363996,-0.5719302041036264,40,3
A,GROSS,MODE-GLOBAL,53,0.9632105783414703,0.13220262383605577,-0.22540480777518787,-0.23452630168451694,16,1
A,GROSS,MODE-LOO,53,0.9632105783414703,0.13220262383605577,-0.22540480777518787,-0.23452630168451694,16,1
A,GROSS,MODE-XCORPUS,53,0.9632105783414703,0.13220262383605577,-0.22540480777518787,-0.23452630168451694,16,1
A,N,SEL-SHARPE,53,0.942318803349015,0.10835085474882071,-0.183648901900438,-0.1726459914218458,37,10
A,N,SEL-4B,53,0.9680694111080255,0.1081930780549763,-0.18261755245126177,-0.10159664243758,44,14
A,N,CONST-INC,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,N,RANDOM,53,0.9045152585501517,0.10112111932561041,-0.18173568163259254,-0.2546552452848781,36,6
A,N,ORACLE,53,1.053841986796908,0.0986699704652124,-0.15546348122242454,-0.12947972314079692,50,10
A,N,MODE-GLOBAL,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,N,MODE-LOO,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,N,MODE-XCORPUS,53,0.9334318790630042,0.10790761676832263,-0.18562267279906602,-0.12463982307991042,41,10
A,BAND,SEL-SHARPE,53,0.9723739871659048,0.1029001900717996,-0.17715575302046357,-0.1341749808561613,47,15
A,BAND,SEL-4B,53,0.9697866645010029,0.10259546847593455,-0.17856230444245005,-0.13408579593534048,47,14
A,BAND,CONST-INC,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,BAND,RANDOM,53,0.9660970369590802,0.10083697331762813,-0.1722319239491049,-0.154475962773672,47,10
A,BAND,ORACLE,53,0.9963440848928956,0.10434288970830567,-0.17269777525300042,-0.12006961015418866,48,14
A,BAND,MODE-GLOBAL,53,0.9728777747513689,0.10343545580161892,-0.17978484306082065,-0.1312924562242755,47,14
A,BAND,MODE-LOO,53,0.9728777747513689,0.10343545580161892,-0.17978484306082065,-0.1312924562242755,47,14
A,BAND,MODE-XCORPUS,53,0.9728777747513689,0.10343545580161892,-0.17978484306082065,-0.1312924562242755,47,14
A,CADENCE,SEL-SHARPE,53,1.0280376929461363,0.11551194344960056,-0.20002084241392143,-0.208731273935261,26,9
A,CADENCE,SEL-4B,53,1.0097481895600187,0.11304212716826814,-0.20029588778514812,-0.17707087423204407,30,11
A,CADENCE,CONST-INC,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,CADENCE,RANDOM,53,0.942330672541007,0.10210981110178054,-0.19324087632391695,-0.23325169794039735,34,6
A,CADENCE,ORACLE,53,1.059495489457732,0.11719171549330652,-0.18691674994545485,-0.17309146277847762,31,11
A,CADENCE,MODE-GLOBAL,53,1.054121417886418,0.11695668917260099,-0.18964027446687087,-0.17444267061999577,31,11
A,CADENCE,MODE-LOO,53,1.054121417886418,0.11695668917260099,-0.18964027446687087,-0.17444267061999577,31,11
A,CADENCE,MODE-XCORPUS,53,1.054121417886418,0.11695668917260099,-0.18964027446687087,-0.17444267061999577,31,11
A,SLEEVE,SEL-SHARPE,53,1.1439741368495062,0.08818809330334748,-0.12560757972541592,-0.19191874050592958,52,4
A,SLEEVE,SEL-4B,53,0.9921877432821281,0.09653174670794001,-0.16062507453877833,-0.13775024648182527,49,17
A,SLEEVE,CONST-INC,53,0.9638473221129039,0.09962258675151794,-0.17183773599126123,-0.1614750416695876,48,10
A,SLEEVE,RANDOM,53,1.040087653053219,0.09508896945570787,-0.15074938025719603,-0.14584505507447773,51,13
A,SLEEVE,ORACLE,53,1.1439741368495062,0.08818809330334748,-0.12560757972541592,-0.19191874050592958,52,4
A,SLEEVE,MODE-GLOBAL,53,1.1439741368495062,0.08818809330334748,-0.12560757972541592,-0.19191874050592958,52,4
A,SLEEVE,MODE-LOO,53,1.1439741368495062,0.08818809330334748,-0.12560757972541592,-0.19191874050592958,52,4
A,SLEEVE,MODE-XCORPUS,53,1.1439741368495062,0.08818809330334748,-0.12560757972541592,-0.19191874050592958,52,4
B,GROSS,SEL-SHARPE,115,0.6788977924705535,0.05950855568960758,-0.20811404708235762,-0.6251892513428101,21,8
B,GROSS,SEL-4B,115,0.6790246214775488,0.060288425964574205,-0.19386052099704082,-0.579771738857156,16,17
B,GROSS,CONST-INC,115,0.679344350385171,0.052506720874108265,-0.17033575009491453,-0.6473299848085998,31,11
B,GROSS,RANDOM,115,0.6794692315761,0.04211310356951996,-0.13887676131374008,-0.756301521012771,38,3
B,GROSS,ORACLE,115,0.6803879690875286,0.03443894029790951,-0.10635908977009052,-0.8236684173748126,40,2
B,GROSS,MODE-GLOBAL,115,0.6788736592893625,0.06903525668058934,-0.22147080346038564,-0.6190543105475684,14,8
