panel,conv,cost_bps,chooser,pick_a,pick_gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,abs_OOS_Sharpe,abs_OOS_CAGR,base_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,full4b,beats_spy_oos,beats_base_oos,beats_abs_oos,pick_is_live,pick_is_inf
U56,G,0.0,C_ISSHARPE,1.50,0.75,0.13183716645217336,1.3649684551471084,-0.14938794383800924,1.3693466954314062,0.13168913356431755,1.3084634507178121,0.8831406547160487,0.15454794790057602,True,True,True,False,False,False
U56,G,0.0,C_ISCALMAR,INF,0.75,0.14353853330986377,1.2803390722324455,-0.17274816551070737,1.3693466954314062,0.13168913356431755,1.3084634507178121,0.8831406547160487,0.15454794790057602,True,True,False,False,False,True
U56,G,10.0,C_ISSHARPE,1.50,0.75,0.1278727939885762,1.3274864665203554,-0.14982960417272395,1.3318413815124672,0.12773946456006335,1.2839355379722956,0.8831406547160487,0.15454794790057602,True,True,True,False,False,False
U56,G,10.0,C_ISCALMAR,INF,0.75,0.13852464950781207,1.2397071765466103,-0.17392304314971785,1.3318413815124672,0.12773946456006335,1.2839355379722956,0.8831406547160487,0.15454794790057602,True,True,False,False,False,True
U56,G,25.0,C_ISSHARPE,1.50,0.75,0.12195114172153598,1.271150136954941,-0.15049193326913557,1.2754689637891052,0.12183969460699817,1.2471042446353333,0.8831406547160487,0.15454794790057602,True,True,True,False,False,False
U56,G,25.0,C_ISCALMAR,INF,0.75,0.13104300062203,1.178665567851114,-0.1756836938565105,1.2754689637891052,0.12183969460699817,1.2471042446353333,0.8831406547160487,0.15454794790057602,True,True,False,False,False,True
U56,G,50.0,C_ISSHARPE,1.50,0.75,0.11214778292379757,1.1770053950158859,-0.15159538470724399,1.181260845927782,0.1120723488705766,1.1856242391281901,0.8831406547160487,0.15454794790057602,False,True,False,False,False,False
U56,G,50.0,C_ISCALMAR,INF,0.75,0.11867736655768168,1.0767540132346374,-0.17861367175230713,1.181260845927782,0.1120723488705766,1.1856242391281901,0.8831406547160487,0.15454794790057602,False,True,False,False,False,True
U56,A,0.0,C_ISSHARPE,1.00,0.75,0.12865541413959236,1.3827446609850547,-0.14071011156858537,1.3693466954314062,0.13168913356431755,1.3084634507178121,0.8831406547160487,0.15454794790057602,True,True,True,True,True,False
U56,A,0.0,C_ISCALMAR,INF,0.75,0.14353853330986377,1.2803390722324455,-0.17274816551070737,1.3693466954314062,0.13168913356431755,1.3084634507178121,0.8831406547160487,0.15454794790057602,True,True,False,False,False,True
