panel,n,pairs,files,n_elig,ratio,rev
SMALL439,5.0,3692,36,148.0,0.033783783783783786,0.1267605633802817
B136,5.0,2411,54,99.0,0.050505050505050504,0.021567814184985483
SMALL439,10.0,108,7,148.0,0.06756756756756757,0.1111111111111111
BSTK100,5.0,12,6,72.0,0.06944444444444445,0.25
B136,10.0,65,6,99.0,0.10101010101010101,0.8923076923076924
U56,5.0,4275,58,41.0,0.12195121951219512,0.017543859649122806
SMALL439,20.0,6522,35,148.0,0.13513513513513514,0.2799754676479608
BSTK100,10.0,3,2,72.0,0.1388888888888889,1.0
ETF36,5.0,24,4,27.0,0.18518518518518517,0.4166666666666667
B136,20.0,9164,72,99.0,0.20202020202020202,0.5711479703186382
SMALL439,30.0,14,2,148.0,0.20270270270270271,0.21428571428571427
U56,10.0,60,7,41.0,0.24390243902439024,0.9833333333333333
SMALL439,40.0,93,6,148.0,0.2702702702702703,0.10752688172043011
BSTK100,20.0,2,2,72.0,0.2777777777777778,1.0
B136,30.0,9,1,99.0,0.30303030303030304,0.3333333333333333
ETF36,10.0,13,3,27.0,0.37037037037037035,0.15384615384615385
B136,40.0,87,6,99.0,0.40404040404040403,0.632183908045977
SMALL439,60.0,17,3,148.0,0.40540540540540543,0.0
BSTK100,30.0,1,1,72.0,0.4166666666666667,1.0
U56,20.0,9102,74,41.0,0.4878048780487805,0.46802900461437047
BSTK100,40.0,1,1,72.0,0.5555555555555556,1.0
B136,60.0,16,3,99.0,0.6060606060606061,0.5
U56,30.0,14,2,41.0,0.7317073170731707,0.0
ETF36,20.0,24,3,27.0,0.7407407407407407,0.0
BSTK100,60.0,1,1,72.0,0.8333333333333334,0.0
U56,40.0,90,6,41.0,0.975609756097561,0.36666666666666664
ETF36,30.0,13,2,27.0,1.1111111111111112,0.0
U56,60.0,16,3,41.0,1.4634146341463414,0.0
ETF36,40.0,13,2,27.0,1.4814814814814814,0.0
ETF36,60.0,13,2,27.0,2.2222222222222223,0.0
