metric,band,panel,N20,N36,N56,N100,N136,N300,N665
dCAGR,0.0,U56,-1.1151462669113044,-1.1813061805954232,-1.1630493732346814,,,,
dCAGR,0.0,B136,-2.200624885778896,-2.2629563124678787,-2.208189642146029,-2.226541325200316,-2.208838262031443,,
dCAGR,0.0,SMALL,-1.3558339540831659,-2.02756483705795,-1.7673557877603596,-1.735671938717398,-1.7008213398659033,-1.823436277843704,-1.8305043597950599
dCAGR,0.03,U56,-0.6519258395495803,-0.754749928749245,-0.7188237752180582,,,,
dCAGR,0.03,B136,-1.936411113147245,-1.9740966901516888,-1.9945971008547903,-1.9852749377402945,-1.95984750183833,,
dCAGR,0.03,SMALL,-1.039580623013401,-1.7506246242075696,-1.4609591894988803,-1.3316634096243174,-1.3478868094686736,-1.4288531326247744,-1.4235699831841808
dCAGR,0.06,U56,-0.46546189925609677,-0.6597771238074414,-0.6278550712383923,,,,
dCAGR,0.06,B136,-1.7088083371729363,-1.7545584562942307,-1.721358134464951,-1.7331718334442876,-1.7267087976376772,,
dCAGR,0.06,SMALL,-0.7669791372206174,-1.3838503061948568,-1.1745790509890432,-1.0161709443214642,-1.006382032903009,-1.0804387274459584,-1.1016857049800821
dCAGR,0.1,U56,-0.2082404142408308,-0.36247302028870243,-0.3027339216538749,,,,
dCAGR,0.1,B136,-1.3513375085767685,-1.3893970386219943,-1.356007142135457,-1.3490645955179505,-1.3394263246600202,,
dCAGR,0.1,SMALL,-0.7453528686177407,-1.2290836980280448,-1.088046216238578,-0.9275096072735587,-0.8884531310968058,-0.9836965989317298,-0.9747922301521328
dMaxDD,0.0,U56,4.348244152789377,4.1627189169972345,4.372675919458069,,,,
dMaxDD,0.0,B136,5.868406758102881,5.838667177225207,5.60285313632701,5.902749580103355,5.895628523869966,,
dMaxDD,0.0,SMALL,2.6517786003688246,4.429817436974975,6.219070099051495,6.1734771937213555,6.358523783942226,6.619844489598514,6.704475963395451
dMaxDD,0.03,U56,4.197449561945103,4.1275059073705345,4.344248741549683,,,,
dMaxDD,0.03,B136,6.274408811618902,6.445173649095555,5.9300326009235595,6.274404874899185,6.278934229774569,,
dMaxDD,0.03,SMALL,2.982657875264946,4.657060284842659,6.451157360335283,6.263936666587626,6.350128769859999,6.518330070062094,6.367192802999533
dMaxDD,0.06,U56,2.284204610164216,2.160759251676288,2.2482029442418616,,,,
dMaxDD,0.06,B136,4.8263455222140195,4.80424996074818,4.404296498465135,4.712617369375527,4.61925578736736,,
dMaxDD,0.06,SMALL,2.702246109899517,5.05769552319974,6.394893171525506,5.852707545285777,5.9696013084009065,6.236759682672542,6.0090147005624095
dMaxDD,0.1,U56,3.4950232730586213,3.5734429207269236,3.6037515542829746,,,,
dMaxDD,0.1,B136,4.613715775255392,4.277453204862003,3.8532702611878107,4.097501164865578,4.020658255457454,,
dMaxDD,0.1,SMALL,3.3031731544997984,4.694231386475998,5.913973088131258,5.3791546039332285,5.662630411413884,5.569019297966171,5.508879898322016
