panel,book,cost,instr,regime,on_days,off_days,d_on,d_off
u56,V1u,10.0,g200-dg,spy200,757,3682,-0.5367475647121944,-0.06138776494996101
u56,V1u,10.0,g200-dg,breadth20,384,4055,-0.15347399868345377,-0.14140903613771674
u56,V1u,10.0,g200-dg,hivol80,482,3957,-0.1427678475463845,-0.14241434281413454
u56,V1u,10.0,band3-dg,spy200,757,3682,-0.5420672968064458,0.011097845515575808
u56,V1u,10.0,band3-dg,breadth20,384,4055,0.30636442014417764,-0.12012986777546082
u56,V1u,10.0,band3-dg,hivol80,482,3957,-0.061920605275820335,-0.08583192942915946
u56,V1u,10.0,abs12-dg,spy200,757,3682,-0.14770931497832962,-0.14924975556731532
u56,V1u,10.0,abs12-dg,breadth20,384,4055,1.4908347776700843,-0.3042747487207801
u56,V1u,10.0,abs12-dg,hivol80,482,3957,0.29559108772359644,-0.20314087837256106
u56,V1u,10.0,vol60-dg,spy200,757,3682,0.0,0.0
u56,V1u,10.0,vol60-dg,breadth20,384,4055,0.0,0.0
u56,V1u,10.0,vol60-dg,hivol80,482,3957,0.0,0.0
u56,V1u,10.0,stop15,spy200,757,3682,-0.208511861037169,0.02757160974633699
u56,V1u,10.0,stop15,breadth20,384,4055,-0.41105072605504417,0.025035429614306482
u56,V1u,10.0,stop15,hivol80,482,3957,-0.3851455276641398,0.032680144709373575
u56,V1u,10.0,stop25,spy200,757,3682,0.0,0.0
u56,V1u,10.0,stop25,breadth20,384,4055,0.0,0.0
u56,V1u,10.0,stop25,hivol80,482,3957,0.0,0.0
u56,V1u,10.0,ddctl8,spy200,757,3682,0.6014134847340726,-2.5835622239595697
u56,V1u,10.0,ddctl8,breadth20,384,4055,1.882687177851889,-2.4119255183651207
u56,V1u,10.0,ddctl8,hivol80,482,3957,-4.052225812215922,-1.7953584177880633
u56,V1u,10.0,gross50,spy200,757,3682,5.397687629358453,-5.085133445705474
u56,V1u,10.0,gross50,breadth20,384,4055,6.644240554282943,-4.238914965353355
u56,V1u,10.0,gross50,hivol80,482,3957,-5.3933229138074825,-3.0421607700803635
u56,V1u,25.0,g200-dg,spy200,757,3682,-0.310671082622167,-0.038174111556504124
u56,V1u,25.0,g200-dg,breadth20,384,4055,0.2579230003984603,-0.11708446866807336
u56,V1u,25.0,g200-dg,hivol80,482,3957,0.0655210058140813,-0.10293561109386304
u56,V1u,25.0,band3-dg,spy200,757,3682,-0.23020223903899079,0.027985071578692865
u56,V1u,25.0,band3-dg,breadth20,384,4055,0.8591540686921296,-0.0989240995752273
u56,V1u,25.0,band3-dg,hivol80,482,3957,0.189670381822373,-0.041102649845376
