panel,d,quote_unit_pp,n_bins,n_straddled,straddle_share
U56,0,1.0,101,65,0.6435643564356436
U56,1,0.1,1001,65,0.06493506493506493
U56,2,0.01,10001,65,0.0064993500649935
U56,3,0.001,100001,65,0.0006499935000649994
U56,4,0.0001,1000001,65,6.4999935000065e-05
B136,0,1.0,101,65,0.6435643564356436
B136,1,0.1,1001,65,0.06493506493506493
B136,2,0.01,10001,65,0.0064993500649935
B136,3,0.001,100001,65,0.0006499935000649994
B136,4,0.0001,1000001,65,6.4999935000065e-05
SMALL,0,1.0,101,65,0.6435643564356436
SMALL,1,0.1,1001,65,0.06493506493506493
SMALL,2,0.01,10001,65,0.0064993500649935
SMALL,3,0.001,100001,65,0.0006499935000649994
SMALL,4,0.0001,1000001,65,6.4999935000065e-05
