neutral,q_star_IS,IS_D,tau_frozen,OOS_n,OOS_abstain,OOS_D_raw,OOS_t_raw,OOS_D_net,OOS_t_net,flips
MENU-MEAN,1.0,0.028316498619031863,inf,877,1.0,-0.01887463774381388,-7.870590820233191,-0.03332031774890316,-16.381547597428607,False
IS-MEDIAN-ARM,1.0,0.028316498619031863,inf,877,1.0,-0.01887463774381388,-7.870590820233191,-0.0356595284672546,-11.869683487971862,False
