panel,g_CAGR,g_DD,nonempty,n_pass4b,pass4b_lo,pass4b_hi,max_fin_drag_bps
U56,0.85,1.25,True,9,0.85,1.25,32.324349138765434
B136,1.05,1.25,True,5,1.05,1.25,31.286418580850583
SMALL,,1.1,False,0,,,6.9851331588533645
