panel,cadence,m,turn_per_yr,names,committed_cstar,committed_first_fail,binding_bar,cstar_H1,censored_H1,slack_H1,croot_H1,sens_H1,sens1_H1,cstar_H2,censored_H2,slack_H2,croot_H2,sens_H2,sens1_H2,cstar_OOS,censored_OOS,slack_OOS,croot_OOS,sens_OOS,sens1_OOS,cstar_DD,censored_DD,slack_DD,croot_DD,sens_DD,sens1_DD,cstar_CAGR,censored_CAGR,slack_CAGR,croot_CAGR,sens_CAGR,sens1_CAGR,cstar_FULL,croot_FULL,binding_FULL,cstar_noDD,croot_noDD,binding_noDD,cstar_noCAGR,croot_noCAGR,binding_noCAGR,cstar_SHARPEONLY,croot_SHARPEONLY,binding_SHARPEONLY,IScstar_FULL,OOScstar_FULL,IScstar_noDD,OOScstar_noDD,IScstar_noCAGR,OOScstar_noCAGR,IScstar_SHARPEONLY,OOScstar_SHARPEONLY
U56,D,0,27.05140458161893,19.086731245776075,8,H1,H1,8,False,0.21561013318591893,8.77262769741314,0.024577599850669343,0.024570997816715234,16,False,0.367744069203915,16.916617034698028,0.021738629446397435,0.021746068437304533,17,False,0.3841501163699109,17.578579680248918,0.021853308023602008,0.02185969878430072,26,False,0.02307633034122203,26.933309720990437,0.0008567951945110378,0.00045801293413261224,11,False,0.03518178741897848,11.573219770393916,0.0030399308158805495,0.0030833780706793767,8,8.77262769741314,H1,8,8.77262769741314,H1,8,8.77262769741314,H1,8,8.77262769741314,H1,0,17,0,17,0,17,0,17
U56,D,20,11.344926285649013,19.086731245776075,12,H1,H1,12,False,0.12198596377199633,12.485949748928777,0.009769858619081983,0.009762102933461803,36,False,0.3601511786121693,36.075903883134195,0.009983150520049566,0.009976578323071417,41,False,0.40025743884267995,41.02965626410758,0.00975532030456765,0.009745893451717835,33,False,0.022939946010299583,33.69248302456975,0.0006808624343172025,0.0003533623635942895,20,False,0.026035707770873162,20.500965357332166,0.0012699747215348324,0.0012838476534091647,12,12.485949748928777,H1,12,12.485949748928777,H1,12,12.485949748928777,H1,12,12.485949748928777,H1,-1,32,-1,32,-1,32,-1,32
U56,W,0,10.996244092602641,19.10745663437711,21,H1,H1,21,False,0.20793445196668248,21.54386722137721,0.00965167719565021,0.009626559892627506,36,False,0.32042040680099426,36.30981832739208,0.008824621591655542,0.008795332066216188,38,False,0.3365780039031828,38.1932977168394,0.008812488683185526,0.00877915214934788,68,False,0.020103049758851355,68.51981320924799,0.0002933903175926651,8.833776997729803e-05,27,False,0.03375182984582381,27.33207261602906,0.0012348800005027737,0.0012523666915804643,21,21.54386722137721,H1,21,21.54386722137721,H1,21,21.54386722137721,H1,21,21.54386722137721,H1,-1,37,-1,37,-1,37,-1,37
U56,W,20,5.264804894861113,19.10745663437711,47,CAGR,CAGR,51,False,0.23221898432804788,51.36276178989851,0.004521154553136165,0.004499090433620179,64,False,0.3062502993808315,64.77919491277177,0.0047276027402503515,0.004697766851428531,76,False,0.35006286941594655,76.69427731844526,0.004564393611304753,0.004528208619019258,86,False,0.030724112488047628,86.72205027532733,0.0003542825889206257,6.379212195517514e-05,47,False,0.028038047489923223,47.511550437027275,0.0005901311835126364,0.0005969855712484318,47,47.511550437027275,CAGR,47,47.511550437027275,CAGR,51,51.36276178989851,H1,51,51.36276178989851,H1,-1,72,-1,72,-1,73,-1,73
U56,2W,0,7.380493577983882,19.15070961928362,-1,DD,DD,17,False,0.11197316917590638,17.126107237559605,0.006538156489545728,0.006525394001712703,64,False,0.365534372890031,64.94231228976798,0.005628601138484916,0.005586579329607266,67,False,0.3806308510909969,67.34866020340176,0.005651646965825927,0.005605026479992059,-1,False,-0.010283450388030024,,,0.0002948521816561467,42,False,0.03489317080560317,42.05206306512897,0.0008297612117522433,0.0008417678434726739,-1,,DD,17,17.126107237559605,H1,-1,,DD,17,17.126107237559605,H1,-1,-1,-1,41,-1,-1,-1,41
U56,2W,20,3.790535293749359,19.15070961928362,-1,DD,DD,59,False,0.19376584318089762,59.54612588609154,0.003254046175087209,0.0032330396089657043,48,False,0.1576524916185008,48.4279781706575,0.003255401063057851,0.0032363713313400266,65,False,0.20528212953809477,65.03634400203543,0.0031564217313886844,0.0031298936481372053,-1,False,-0.012738716608554745,,,0.0002877203876734402,44,False,0.01867565990824327,44.120041966373485,0.0004232919796965992,0.00042642825887750924,-1,,DD,44,44.120041966373485,CAGR,-1,,DD,48,48.4279781706575,H2,-1,-1,-1,2,-1,-1,-1,2
U56,M,0,4.816013584145754,19.107231358414058,68,H1,H1,68,False,0.28418210248877795,68.63870698851963,0.004140260138296452,0.004083762060766549,115,False,0.4345555747105482,115.46400630259592,0.0037635587801423645,0.0036847748466619645,123,False,0.46192270695803217,123.11020528736628,0.0037521073568174386,0.0036632847718489625,131,False,0.00783210608906737,131.16708957145278,5.971090854158855e-05,5.9710908541843466e-05,95,False,0.05197081837164752,95.22777242795809,0.0005457527467731601,0.0005569953547444051,68,68.63870698851963,H1,68,68.63870698851963,H1,68,68.63870698851963,H1,68,68.63870698851963,H1,34,96,34,96,34,96,34,96
U56,M,20,2.7609729557140223,19.107231358414058,95,"H2,CAGR","H2,CAGR",114,False,0.2622149931668659,114.69724766753146,0.0022861489573571857,0.0022447885863448036,95,False,0.23141768830284504,95.40608787760745,0.002425607143641832,0.0023850504669473693,113,False,0.2649112857024002,113.80754675420665,0.0023277128209655243,0.0022785995860132857,219,False,0.01576732924708546,219.7374955272392,7.175529697038393e-05,7.175529697056593e-05,95,False,0.029548861580445895,95.32588910607402,0.00030997729848147924,0.00031336136715731655,95,95.32588910607402,CAGR,95,95.32588910607402,CAGR,95,95.40608787760745,H2,95,95.40608787760745,H2,53,106,53,106,53,106,53,106
U56,6W,0,4.000874613660089,19.137193061500337,-1,DD,DD,42,False,0.1515242339282562,42.80987331142466,0.003539469337504883,0.0035110791260719587,172,False,0.5038747914870371,172.86807006111547,0.002914793873205723,0.0028316976320803544,175,False,0.5095325313534164,175.91121104289317,0.002896532451414793,0.002808062707146286,-1,False,-0.0178739893663592,,,6.589231568387977e-05,118,False,0.05394594760352989,118.69182077828741,0.0004545043394717082,0.0004638809532053756,-1,,DD,42,42.80987331142466,H1,-1,,DD,42,42.80987331142466,H1,-1,-1,-1,174,-1,-1,-1,174
U56,6W,20,2.2852418937101686,19.137193061500337,104,H1,H1,104,False,0.2183647784753281,104.9970323400223,0.002079723337019429,0.002039734803747306,197,False,0.35901624732806525,197.36107265535725,0.001819083381022149,0.0017664766500047335,219,False,0.3854517154337055,219.25963660246424,0.001757969325346284,0.0016983540624901927,174,False,0.008648168468813777,174.79565570214396,4.947587761305959e-05,4.947587761328087e-05,151,False,0.039084866877096336,151.4503336716467,0.0002580705233825014,0.00026162581017463715,104,104.9970323400223,H1,104,104.9970323400223,H1,104,104.9970323400223,H1,104,104.9970323400223,H1,41,174,41,211,41,174,41,211
