corpus,cells,claims,survives,share,survives_weak,weak_share,median_abs_gap0,median_gap_range,median_ratio
A,4,84,39,0.4642857142857143,66,0.7857142857142857,0.08547309206422866,0.17017160009751398,0.4857282783632886
B,4,24,18,0.75,22,0.9166666666666666,0.12215245738819452,0.14750228013258676,1.0182558163976672
C,18,108,78,0.7222222222222222,100,0.9259259259259259,0.1679019511582267,0.14034569102966354,1.179055989453904
D,8,24,20,0.8333333333333334,24,1.0,0.19450192925936993,0.1274441355920528,2.150800503690938
ALL,32,240,155,0.6458333333333334,212,0.8833333333333333,0.13904354497821148,0.14652730959371646,0.9668993761324305
