panel,cadence,cost_bps,phi,book,gross,cal,f_bp,bill_yr_bp,flat_bill_yr_bp,bill_ratio
U56,W,0.0,0.0,CAP0.015,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.015,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.015,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.015,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP2,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP2,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP2,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP2,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.030,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.030,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.030,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAP0.030,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAND,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAND,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAND,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.0,CAND,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.015,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.015,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.015,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.015,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP2,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP2,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP2,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP2,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.030,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.030,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.030,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAP0.030,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAND,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAND,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAND,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.25,CAND,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP0.015,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP0.015,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP0.015,1.0,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP0.015,1.0,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP2,0.75,SELF,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP2,0.75,PANEL,0.0,0.0,0.0,1.0
U56,W,0.0,0.5,CAP2,1.0,SELF,0.0,0.0,0.0,1.0
