panel,stat,med_r2,cells
U56,CAGR,0.005874743999447873,54
U56,VOL,0.07420978332585182,54
U56,SHARPE,0.05413672139120901,54
U56,MAXDD,0.9093044871833061,54
U56,ULCER,0.10781880186076365,54
U56,CALMAR,0.5202199354637868,54
B136,CAGR,0.1340802631515836,54
B136,VOL,0.2957744589672324,54
B136,SHARPE,0.03852852834379272,54
B136,MAXDD,0.9201691314537661,54
B136,ULCER,0.536488690413644,54
B136,CALMAR,0.5965189318544525,54
SMALL,CAGR,0.04105214982909289,54
SMALL,VOL,0.011266878584592188,54
SMALL,SHARPE,0.11101501228035471,54
SMALL,MAXDD,0.9644161684189543,54
SMALL,ULCER,0.6125853093834897,54
SMALL,CALMAR,0.207820250316752,54
