scope,match,lines,distinct,repeated_keys,redundant_lines,dup_share,numbers,colliding_numbers,max_slugs_on_one_number
S_OPEN,M_EXACT,197,195,2,2,0.01015228426395939,178,7,2
S_OPEN,M_NUMSLUG,197,185,8,12,0.06091370558375635,178,7,2
S_OPEN,M_SLUG,197,184,9,13,0.06598984771573604,178,7,2
S_ALL,M_EXACT,1318,1316,2,2,0.0015174506828528073,1184,69,2
S_ALL,M_NUMSLUG,1318,1253,58,65,0.04931714719271624,1184,69,2
S_ALL,M_SLUG,1318,1243,64,75,0.05690440060698027,1184,69,2
