panel,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,pick_4b,pick_4a,anchor_oos_Sharpe,anchor_oos_CAGR,anchor_oos_MaxDD,v2_oos_Sharpe,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD
U56,k=24/EXPANDING,1.0992294558727456,0.1717873339843201,1.1703243965388124,-0.20563319829509852,False,False,1.1831862943616593,0.17284600189211563,-0.19127563591226426,1.430446820789647,0.8747033226162612,0.1527838188994346,-0.3371726770846233
B135,k=1/EXPANDING,1.2719609873970152,0.20425943643560918,0.9143921703777615,-0.28623535174686976,False,False,1.024015074035567,0.1628665539757932,-0.20740302267849475,1.2980353040041632,0.8769078511614361,0.15331427255204866,-0.3371595330739301
SMALL663,k=16/EXPANDING,1.1627884514173155,0.10158940634710945,0.630750425288099,-0.3730783103285811,False,False,0.4534302580652865,0.070860770065448,-0.3581405418032816,1.0890097388163327,0.8768941923019906,0.15331706161492242,-0.3371726770846233
