panel,theta,arm,construction,cadence,gross,IS_spread,CAGR,Sharpe,MaxDD,H1,H2,isSharpe,oCAGR,oSharpe,oMaxDD,turn_yr,base_oSharpe,base_oCAGR,base_oMaxDD,spy_oSharpe,spy_oCAGR,spy_oMaxDD,beat_base,beat_spy,p4a,p4b,f4b
B136,-0.4,MA-THRESH,DEGROSS,Q,1.0,0.029570450549289085,0.18531531878967988,1.1436866196979119,-0.31766411852601917,1.2670619920234156,1.040555497302537,1.1749360176453632,0.18535389023841176,1.1198850968949567,-0.3176641185260194,0.345332243831937,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.4,MA-THRESH,RESPREAD,Q,1.0,0.022712147685767237,0.18773792898447872,1.139252416294316,-0.31993473659855254,1.2534888287804806,1.0408092278688619,1.1646774601887182,0.18681199989073538,1.1191086766837832,-0.31993473659855265,0.35079975973648964,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.4,MOM-D,DEGROSS,Q,1.0,0.028416463043333673,0.1848097848405419,1.1404867836927328,-0.3176641185260195,1.2600513520883168,1.0410135510614937,1.1674132390765612,0.18566111297610655,1.1201527082268523,-0.31766411852602006,0.35068863489835017,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.4,MOM-D,RESPREAD,Q,1.0,0.023170597199356324,0.18740535843163264,1.1365321926236274,-0.3199347365985524,1.2473421076411166,1.0412803591414022,1.1582330538191403,0.18713127096022686,1.1193851333050278,-0.3199347365985522,0.3564949964423484,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.25,MA-THRESH,DEGROSS,Q,0.75,0.0611350932649124,0.13479446776827442,1.1706052207749706,-0.24163593668050265,1.3161779937849676,1.0543153553441045,1.2156044088420448,0.13580129917386707,1.1384051662705015,-0.24163593668050243,0.3037826188619954,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,False,DD
B136,-0.25,MA-THRESH,RESPREAD,Q,0.5,0.057948614590795255,0.09258085906226965,1.162533770013312,-0.16461635799539387,1.273798028418151,1.067682157522007,1.1799226764175679,0.09319601099260799,1.149033065569491,-0.1646163579953943,0.24055621199268573,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,False,CAGR
B136,-0.25,MOM-D,DEGROSS,Q,1.0,0.034297272802862766,0.17887858656634847,1.1518967126645452,-0.3176641185260197,1.3026986799300204,1.0340752969282767,1.2024011822162712,0.18027333109778398,1.1166441627042258,-0.3176641185260197,0.40156583845757454,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.25,MOM-D,RESPREAD,Q,1.0,0.03143273687934167,0.18472637208835296,1.1387629505358206,-0.3199347365985523,1.2574560069288765,1.0404759051605468,1.164641046443378,0.18594583101452078,1.1193660601813118,-0.31993473659855254,0.4449706632709993,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.12,MA-THRESH,DEGROSS,W,1.0,0.0485707137589515,0.14905266622873325,1.12965812789719,-0.23757522376497786,1.3013873977290527,0.9722370761257437,1.1870158639585389,0.14238870592844988,1.0824074601138929,-0.23757522376497764,2.325366271161659,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,False,False,DD
B136,-0.12,MA-THRESH,RESPREAD,Q,0.5,0.08629184265331258,0.08763013993085611,1.1426627117252153,-0.16534255628694328,1.265959969582349,1.0385968482031072,1.1665735814540492,0.08817332849361414,1.1244307324662,-0.16534255628694305,0.49741922310496745,1.12060446918127,0.07983508528458505,-0.12178128651163989,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,False,False,CAGR
