script,artefact,status,shared,moved,max_abs,max_rel,med_abs_moved
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.bookgrid.csv,MOVED,1638,621,0.008638958114965067,0.18593941917631143,0.00023578041460245447
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.census.csv,REPRODUCED,2824,0,0.0,0.0,0.0
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.curves.csv,REPRODUCED,14140,0,0.0,0.0,0.0
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.keeppaths.csv,MOVED,1890,638,0.008638958114965067,0.0074089574530661634,0.0015683682992695402
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.loco.csv,REPRODUCED,253,0,0.0,0.0,0.0
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.perxis.csv,REPRODUCED,324,0,0.0,0.0,0.0
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.sensitivity.csv,REPRODUCED,43,0,0.0,0.0,0.0
2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.py,2026-09-08_census-every-CROSSING-in-the-record-for-dial-heterogeneity_C.walkforward.csv,MOVED,106,65,0.008010197672919661,0.010738264907299486,0.00027221354031574385
2026-09-08_the-mid-tercile-band_cloud.py,2026-09-08_the-mid-tercile-band_cloud.bandgrid.csv,MOVED,4950,2089,489.0,1.9827227777612986,2.0
2026-09-08_the-mid-tercile-band_cloud.py,2026-09-08_the-mid-tercile-band_cloud.keeppaths.csv,MOVED,654,152,0.0033970011625159557,0.004701668405328514,0.0006360448015217124
2026-09-08_the-mid-tercile-band_cloud.py,2026-09-08_the-mid-tercile-band_cloud.livecells.csv,MOVED,21600,5103,0.003519484918648619,0.009228203108483676,0.0005332840085084112
2026-09-08_the-mid-tercile-band_cloud.py,2026-09-08_the-mid-tercile-band_cloud.livegrid.csv,MOVED,380,20,0.0143652310336293,0.004929083150360915,0.001531515928153409
2026-09-08_the-mid-tercile-band_cloud.py,2026-09-08_the-mid-tercile-band_cloud.strata.csv,MOVED,352,149,1.4066630725411036e+16,1.986470938212795,1.3457472180653263
2026-09-08_the-mid-tercile-band_cloud.py,2026-09-08_the-mid-tercile-band_cloud.walkforward.csv,MOVED,3036,1008,814.0,1.995167584831281,0.10207849846695916
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.adjusted.csv,REPRODUCED,231,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.book.csv,REPRODUCED,728160,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.boot.csv,REPRODUCED,4000,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.bydial.csv,REPRODUCED,832,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.composition.csv,REPRODUCED,396,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.curve.csv,REPRODUCED,132,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.groupsize.csv,REPRODUCED,10,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.holdout.csv,REPRODUCED,40,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.params.csv,REPRODUCED,84,0,0.0,0.0,0.0
2026-09-08_why-the-035-045-share-window-dips_cloud.py,2026-09-08_why-the-035-045-share-window-dips_cloud.walkforward.csv,MOVED,14400,3200,0.0033648162678152627,1.9540863197800706,0.0033648162678151516
