legset,leg,episode,rung,matching,scope,family,win,n,n_deleted,win_NONE,delta
ENDYEAR,..2013,NONE,0.0,FULLMATCH,POOLED,ABS,0.5185185185185185,108,0,0.5185185185185185,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,POOLED,QEXP,0.48148148148148145,108,0,0.48148148148148145,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,POOLED,QROLL,0.6111111111111112,432,0,0.6111111111111112,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,POOLED,adv,0.09259259259259267,648,0,0.09259259259259267,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,U56,ABS,0.5,36,0,0.5,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,U56,QEXP,0.0,36,0,0.0,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,U56,QROLL,0.2361111111111111,144,0,0.2361111111111111,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,U56,adv,-0.2638888888888889,216,0,-0.2638888888888889,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,B136,ABS,0.2777777777777778,36,0,0.2777777777777778,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,B136,QEXP,0.6111111111111112,36,0,0.6111111111111112,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,B136,QROLL,0.8888888888888888,144,0,0.8888888888888888,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,B136,adv,0.2777777777777777,216,0,0.2777777777777777,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,SMALL663,ABS,0.7777777777777778,36,0,0.7777777777777778,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,SMALL663,QEXP,0.8333333333333334,36,0,0.8333333333333334,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,SMALL663,QROLL,0.7083333333333334,144,0,0.7083333333333334,0.0
ENDYEAR,..2013,NONE,0.0,FULLMATCH,SMALL663,adv,-0.125,216,0,-0.125,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,POOLED,ABS,0.5185185185185185,108,0,0.5185185185185185,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,POOLED,QEXP,0.0,108,0,0.0,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,POOLED,QROLL,0.20833333333333334,432,0,0.20833333333333334,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,POOLED,adv,-0.3101851851851851,648,0,-0.3101851851851851,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,U56,ABS,0.5,36,0,0.5,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,U56,QEXP,0.0,36,0,0.0,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,U56,QROLL,0.2361111111111111,144,0,0.2361111111111111,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,U56,adv,-0.2638888888888889,216,0,-0.2638888888888889,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,B136,ABS,0.2777777777777778,36,0,0.2777777777777778,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,B136,QEXP,0.0,36,0,0.0,0.0
ENDYEAR,..2013,NONE,0.0,WINMATCH,B136,QROLL,0.3888888888888889,144,0,0.3888888888888889,0.0
