panel,ladder,stat,L,q,rungs,peak,runner_up,gap,floor,largest_unresolved,n_pairs,n_unresolved,tie_set_verdict,P_argmax,tie_set_width,tie_set,tie_mass,spread,floor_capped
U56,N,S_FULL,21,0.8,9,12,15,0.007068668245825416,0.1425488726446289,0.14079685592405156,36,25,True,0.295,7,"[10, 12, 15, 20, 25, 30, 40]",0.934,0.18322104889544333,0.1425488726446289
U56,N,S_FULL,21,0.9,9,12,15,0.007068668245825416,0.1761523806496179,0.1537365394298984,36,32,True,0.295,7,"[10, 12, 15, 20, 25, 30, 40]",0.934,0.18322104889544333,0.1761523806496179
U56,N,S_FULL,21,0.95,9,12,15,0.007068668245825416,inf,0.18322104889544333,36,36,True,0.295,7,"[10, 12, 15, 20, 25, 30, 40]",0.934,0.18322104889544333,0.18322104889544333
U56,N,S_OOS,21,0.8,9,15,12,0.014730064937639176,0.232665797477971,0.19806938655296114,36,25,True,0.256,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.985,0.2902903436047862,0.232665797477971
U56,N,S_OOS,21,0.9,9,15,12,0.014730064937639176,0.26405478158276907,0.25765236817958603,36,31,True,0.256,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.985,0.2902903436047862,0.26405478158276907
U56,N,S_OOS,21,0.95,9,15,12,0.014730064937639176,0.2902903436047862,0.27556027866714705,36,35,True,0.256,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.985,0.2902903436047862,0.2902903436047862
U56,N,CAGR,21,0.8,9,5,12,0.12264140835065618,2.8140034158264697,2.2489985323977955,36,11,True,0.456,5,"[5, 8, 10, 12, 15]",0.988,4.3700319617852035,2.8140034158264697
U56,N,CAGR,21,0.9,9,5,12,0.12264140835065618,4.247390553434547,3.8195536351496084,36,20,True,0.456,5,"[5, 8, 10, 12, 15]",0.988,4.3700319617852035,4.247390553434547
U56,N,CAGR,21,0.95,9,5,12,0.12264140835065618,inf,4.3700319617852035,36,23,True,0.456,5,"[5, 8, 10, 12, 15]",0.988,4.3700319617852035,4.3700319617852035
U56,N,DD,21,0.8,9,20,12,1.0416639841034687,4.42332544465075,3.856619951293972,36,28,True,0.16,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.9710000000000001,6.726027403333877,4.42332544465075
U56,N,DD,21,0.9,9,20,12,1.0416639841034687,inf,6.726027403333877,36,36,True,0.16,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.9710000000000001,6.726027403333877,6.726027403333877
U56,N,DD,21,0.95,9,20,12,1.0416639841034687,inf,6.726027403333877,36,36,True,0.16,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.9710000000000001,6.726027403333877,6.726027403333877
U56,N,S_FULL,63,0.8,9,12,15,0.007068668245825416,0.1425488726446289,0.14079685592405156,36,25,True,0.299,7,"[10, 12, 15, 20, 25, 30, 40]",0.93,0.18322104889544333,0.1425488726446289
U56,N,S_FULL,63,0.9,9,12,15,0.007068668245825416,0.1761523806496179,0.1537365394298984,36,33,True,0.299,7,"[10, 12, 15, 20, 25, 30, 40]",0.93,0.18322104889544333,0.1761523806496179
U56,N,S_FULL,63,0.95,9,12,15,0.007068668245825416,inf,0.18322104889544333,36,36,True,0.299,7,"[10, 12, 15, 20, 25, 30, 40]",0.93,0.18322104889544333,0.18322104889544333
U56,N,S_OOS,63,0.8,9,15,12,0.014730064937639176,0.09514363828767247,0.09222095705182509,36,24,True,0.252,7,"[10, 12, 15, 20, 25, 30, 40]",0.9,0.2902903436047862,0.09514363828767247
U56,N,S_OOS,63,0.9,9,15,12,0.014730064937639176,0.27556027866714705,0.26405478158276907,36,32,True,0.252,7,"[10, 12, 15, 20, 25, 30, 40]",0.9,0.2902903436047862,0.27556027866714705
U56,N,S_OOS,63,0.95,9,15,12,0.014730064937639176,inf,0.2902903436047862,36,36,True,0.252,7,"[10, 12, 15, 20, 25, 30, 40]",0.9,0.2902903436047862,0.2902903436047862
U56,N,CAGR,63,0.8,9,5,12,0.12264140835065618,2.8140034158264697,2.2489985323977955,36,13,True,0.475,5,"[5, 8, 10, 12, 15]",0.9870000000000001,4.3700319617852035,2.8140034158264697
U56,N,CAGR,63,0.9,9,5,12,0.12264140835065618,4.247390553434547,3.8195536351496084,36,20,True,0.475,5,"[5, 8, 10, 12, 15]",0.9870000000000001,4.3700319617852035,4.247390553434547
U56,N,CAGR,63,0.95,9,5,12,0.12264140835065618,inf,4.3700319617852035,36,23,True,0.475,5,"[5, 8, 10, 12, 15]",0.9870000000000001,4.3700319617852035,4.3700319617852035
U56,N,DD,63,0.8,9,20,12,1.0416639841034687,4.42332544465075,3.856619951293972,36,26,True,0.212,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.99,6.726027403333877,4.42332544465075
U56,N,DD,63,0.9,9,20,12,1.0416639841034687,5.684363419230408,5.0825399429743605,36,34,True,0.212,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.99,6.726027403333877,5.684363419230408
U56,N,DD,63,0.95,9,20,12,1.0416639841034687,inf,6.726027403333877,36,36,True,0.212,8,"[8, 10, 12, 15, 20, 25, 30, 40]",0.99,6.726027403333877,6.726027403333877
