arm,bps,lag,CAGR,Sharpe,MaxDD,twin_Sharpe,WORKS
SIZE,0,1,0.15184815340506885,1.229003795522587,-0.1565277608860176,1.0998082384290797,True
SIZE,0,2,0.1474941693984082,1.1917328347223024,-0.15843032894522857,1.0998082384290797,True
SIZE,10,1,0.13687752175188383,1.1207292685656856,-0.17032938923798469,1.0211484096965846,True
SIZE,10,2,0.13267122111513063,1.0848766176302023,-0.16661110140116653,1.0211484096965846,True
SIZE,25,1,0.1147769521105868,0.9579463249501776,-0.20383879603522348,0.9028931074070821,True
SIZE,25,2,0.11078655865012732,0.9241846872653044,-0.19597776514883491,0.9028931074070821,True
SIZE,50,1,0.07887089027226701,0.6862951621978665,-0.2569022334515154,0.7054876267915622,False
SIZE,50,2,0.07522578058779295,0.6558949932619541,-0.25160665051189046,0.7054876267915622,False
GATE,0,1,0.15458192386863034,1.2581730932327866,-0.13699511754364668,1.0998525421061156,True
GATE,0,2,0.14564553422583648,1.1865552151414154,-0.15137789620833175,1.0998525421061156,True
GATE,10,1,0.14021708711942438,1.1537944792853247,-0.15106525419372918,1.0211495507438304,True
GATE,10,2,0.1313986378070502,1.0828964911506989,-0.1659906822682098,1.0211495507438304,True
GATE,25,1,0.11899434052389335,0.9966968674665533,-0.1723182848889555,0.902829232452503,True
GATE,25,2,0.11035007596755797,0.9269289025629234,-0.1874510589892896,0.902829232452503,True
GATE,50,1,0.08447165007263568,0.7342038956022121,-0.20659201469569166,0.7053152069820281,True
GATE,50,2,0.0761105640010733,0.666428506560377,-0.23010250004928423,0.7053152069820281,False
