gate,panel,value,tol,ok,v,note
G2_cost_reconstruction,U56,0.0,1e-12,True,,
G2_cost_reconstruction,B136,0.0,1e-12,True,,
G2_cost_reconstruction,SMALL,0.0,1e-12,True,,
G1_gross_match,U56,1.1798756416325773e-10,0.0005,True,0.06,
G1_gross_match,U56,1.2607237476203181e-10,0.0005,True,0.08,
G1_gross_match,U56,9.585676696843848e-11,0.0005,True,0.1,
G1_gross_match,U56,5.8073323927487763e-11,0.0005,True,0.12,
G1_gross_match,U56,2.916533681229794e-11,0.0005,True,0.14,
G1_gross_match,U56,2.0254464772051506e-11,0.0005,True,0.15,
G1_gross_match,U56,1.4635070932911276e-11,0.0005,True,0.16,
G1_gross_match,U56,7.316702799187169e-12,0.0005,True,0.18,
G1_gross_match,U56,3.3457681070103718e-12,0.0005,True,0.2,
G1_gross_match,U56,1.3190559755571485e-12,0.0005,True,0.22,
G1_gross_match,U56,5.208056208516609e-13,0.0005,True,0.24,
G1_gross_match,U56,2.907674101493285e-13,0.0005,True,0.26,
G1_gross_match,U56,2.2526425169644426e-13,0.0005,True,0.28,
G1_gross_match,U56,1.596500709410975e-13,0.0005,True,0.3,
G1_gross_match,B136,1.2599626897369376e-10,0.0005,True,0.06,
G1_gross_match,B136,1.723057252434046e-10,0.0005,True,0.08,
G1_gross_match,B136,1.673692295867113e-10,0.0005,True,0.1,
G1_gross_match,B136,1.268830596146131e-10,0.0005,True,0.12,
G1_gross_match,B136,8.145328855846401e-11,0.0005,True,0.14,
G1_gross_match,B136,6.324085699560555e-11,0.0005,True,0.15,
G1_gross_match,B136,4.816669285645503e-11,0.0005,True,0.16,
G1_gross_match,B136,2.6705748723543365e-11,0.0005,True,0.18,
G1_gross_match,B136,1.3919199126632975e-11,0.0005,True,0.2,
G1_gross_match,B136,7.42395034336596e-12,0.0005,True,0.22,
G1_gross_match,B136,3.5982328228101323e-12,0.0005,True,0.24,
G1_gross_match,B136,2.190914116795284e-12,0.0005,True,0.26,
G1_gross_match,B136,1.4925838343060605e-12,0.0005,True,0.28,
G1_gross_match,B136,9.164891068280667e-13,0.0005,True,0.3,
G1_gross_match,SMALL,9.293288361078567e-12,0.0005,True,0.06,
G1_gross_match,SMALL,1.3511969321200468e-11,0.0005,True,0.08,
G1_gross_match,SMALL,1.4636847289750676e-11,0.0005,True,0.1,
G1_gross_match,SMALL,1.246835967805282e-11,0.0005,True,0.12,
G1_gross_match,SMALL,8.792300221216465e-12,0.0005,True,0.14,
G1_gross_match,SMALL,7.030820370346191e-12,0.0005,True,0.15,
G1_gross_match,SMALL,5.482725384808873e-12,0.0005,True,0.16,
G1_gross_match,SMALL,3.205657961302677e-12,0.0005,True,0.18,
G1_gross_match,SMALL,1.783573289060314e-12,0.0005,True,0.2,
G1_gross_match,SMALL,9.809930645587883e-13,0.0005,True,0.22,
G1_gross_match,SMALL,5.119238366546597e-13,0.0005,True,0.24,
G1_gross_match,SMALL,2.5413005033669833e-13,0.0005,True,0.26,
G1_gross_match,SMALL,1.20570220474292e-13,0.0005,True,0.28,
G1_gross_match,SMALL,5.639932965095795e-14,0.0005,True,0.3,
G4_unbinding_target_is_base,U56,0.0,1e-12,True,,
G4_unbinding_target_is_base,B136,0.0,1e-12,True,,
G4_unbinding_target_is_base,SMALL,0.0,1e-12,True,,
G3_1534_pooled_dMaxDD_pp,POOLED,1.7167671935499638,,True,,1534 published +0.97 pp on the same five rungs
