fallback,tau,abstain_rate,mean_oos,clustered_oos,d_vs_argmax,d_clustered,win_rate,loss_rate,n,scope,abstain,oos_incumbent_fb,d_inc,oos_meanfb,d_mean
LADDER-MEAN,0.0,0.0,0.8385002879609849,0.9137783502439163,0.0,0.0,0.0,0.0,8748.0,record,,,,,
LADDER-MEAN,0.001,0.16232281664380432,0.8384804242844066,0.9136918144639993,-1.9863676578290073e-05,-8.65357799171529e-05,0.0851623228166438,0.07350251486053955,8748.0,record,,,,,
LADDER-MEAN,0.005,0.31115683584819387,0.8372972131489349,0.9122537964077939,-0.0012030748120500526,-0.0015245538361224442,0.1467764060356653,0.16072245084590764,8748.0,record,,,,,
LADDER-MEAN,0.013,0.45839048925468684,0.8358869218710419,0.9109835193211583,-0.0026133660899431118,-0.002794830922758001,0.20644718792866942,0.24828532235939643,8748.0,record,,,,,
LADDER-MEAN,0.02,0.5360082304526749,0.8344240493011924,0.9092372519704605,-0.004076238659792458,-0.0045410982734558495,0.23319615912208505,0.2991540923639689,8748.0,record,,,,,
LADDER-MEAN,0.03,0.6338591678097851,0.8327419780645637,0.9073758447880849,-0.005758309896421149,-0.00640250545583156,0.26920438957475995,0.3608824874256973,8748.0,record,,,,,
LADDER-MEAN,0.05,0.7814357567443987,0.8301269322201238,0.9039243884500617,-0.008373355740861108,-0.009853961793854704,0.3294467306812986,0.4482167352537723,8748.0,record,,,,,
LADDER-MEAN,0.1,0.9268404206675811,0.8248966583967684,0.896890735574425,-0.013603629564216409,-0.01688761466949144,0.38454503886602653,0.5385230909922268,8748.0,record,,,,,
LADDER-MEAN,0.25,0.9899405578417924,0.8189167451860186,0.8880598972850563,-0.01958354277496619,-0.025718452958859897,0.4028349336991312,0.5833333333333334,8748.0,record,,,,,
LADDER-MEAN,inf,1.0,0.8147752409319268,0.8751255657539443,-0.023725047029058182,-0.03865278448997185,0.40294924554183814,0.593278463648834,8748.0,record,,,,,
LADDER-MEDIAN,0.0,0.0,0.8385002879609849,0.9137783502439163,0.0,0.0,0.0,0.0,8748.0,record,,,,,
LADDER-MEDIAN,0.001,0.16232281664380432,0.8386977539829561,0.9137985752592235,0.00019746602197121416,2.0225015307182707e-05,0.08173296753543667,0.06378600823045268,8748.0,record,,,,,
LADDER-MEDIAN,0.005,0.31115683584819387,0.838397982060011,0.9127800603860772,-0.00010230590097396453,-0.0009982898578392348,0.1418609967992684,0.13363054412437128,8748.0,record,,,,,
LADDER-MEDIAN,0.013,0.45839048925468684,0.8390773269957045,0.9140090457576993,0.0005770390347195829,0.00023069551378285786,0.19684499314128945,0.1886145404663923,8748.0,record,,,,,
LADDER-MEDIAN,0.02,0.5360082304526749,0.8388529238098512,0.9128331549437823,0.000352635848866204,-0.0009451953001341797,0.22347965249199817,0.22039323273891176,8748.0,record,,,,,
LADDER-MEDIAN,0.03,0.6338591678097851,0.8387875651019097,0.9125931654011916,0.00028727714092474925,-0.0011851848427246647,0.2599451303155007,0.25663008687700045,8748.0,record,,,,,
LADDER-MEDIAN,0.05,0.7814357567443987,0.8388835922730438,0.9113037164209222,0.00038330431205887966,-0.0024746338229940205,0.3174439871970736,0.30738454503886603,8748.0,record,,,,,
LADDER-MEDIAN,0.1,0.9268404206675811,0.83613243219986,0.9071753923716092,-0.002367855761124936,-0.0066029578723071445,0.36682670324645633,0.374371284865112,8748.0,record,,,,,
LADDER-MEDIAN,0.25,0.9899405578417924,0.8311387350582823,0.8993563677984556,-0.00736155290270272,-0.014421982445460625,0.3856881572930956,0.4124371284865112,8748.0,record,,,,,
LADDER-MEDIAN,inf,1.0,0.8261023477238031,0.8829297084667835,-0.01239794023718183,-0.030848641777132646,0.3860310928212163,0.42192501143118427,8748.0,record,,,,,
,0.0,,,,,,,,,live,0.0,0.8041603388665776,0.0,0.8041603388665776,0.0
,0.001,,,,,,,,,live,0.2777777777777778,0.8028335463196735,-0.001326792546904094,0.8013708508486409,-0.0027894880179367065
,0.005,,,,,,,,,live,0.5555555555555556,0.7835106885373404,-0.020649650329237174,0.7777516331314013,-0.026408705735176286
,0.013,,,,,,,,,live,0.6944444444444444,0.7683787532651845,-0.035781585601393086,0.7690206577480058,-0.035139681118571894
,0.02,,,,,,,,,live,0.75,0.7669202206063556,-0.03724011826022213,0.7656868031015639,-0.0384735357650137
,0.03,,,,,,,,,live,0.7777777777777778,0.7581136628447449,-0.04604667602183271,0.7607465631881125,-0.043413775678465064
,0.05,,,,,,,,,live,0.8888888888888888,0.7317267338784317,-0.07243360498814588,0.7446657682010087,-0.059494570665568784
,0.1,,,,,,,,,live,0.9166666666666666,0.7344149860778985,-0.06974535278867909,0.7477770829083544,-0.05638325595822315
,0.25,,,,,,,,,live,1.0,0.7327791139809459,-0.07138122488563173,0.7477885883209573,-0.05637175054562024
,inf,,,,,,,,,live,1.0,0.7327791139809459,-0.07138122488563173,0.7477885883209573,-0.05637175054562024
