corpus,selector,m,k4a,k4b,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_v2,beat_spy
NARROW,IS_SHARPE,12,0,3,0.10433933238872702,1.1457111108687965,-0.15602237866995936,2,12
NARROW,IS_CAGR,12,0,2,0.12520436772530816,1.0728678602830233,-0.20243878438544338,0,12
NARROW,IS_CALMAR,12,0,2,0.1160840829428821,0.9996528302387023,-0.1861593080781506,0,7
NARROW,IS_MINDD,12,0,1,0.08270215830870585,0.9975324924719585,-0.1515294044749694,0,9
WIDE,IS_SHARPE,18,0,3,0.08481896488457859,0.8979720368354251,-0.21438492410863086,2,12
WIDE,IS_CAGR,18,0,2,0.10068656365838813,0.8575849620323928,-0.24803121582417806,0,12
WIDE,IS_CALMAR,18,0,2,0.09218718258133128,0.8007324233518958,-0.22889184950043281,0,7
WIDE,IS_MINDD,18,1,1,0.06876058107470899,0.8626634634245955,-0.15322081207554553,4,9
