frm,to,to_date,colset,overlap_rows,overlap_cols,cells,n_diff,share_diff,max_rel,n_ret_diff,share_ret_diff,med_abs_dret,p99_abs_dret,n_ret_gt_1bp,max_abs_dret,new_rows,postfix
fb208174,0ede2282,2026-09-03,ALL_COLS,6059,58,335680,30754,0.0916170162,0.0771273457,40163,0.1196466873,0.0000011321,0.0000080266,62,0.0771273457,1,False
fb208174,0ede2282,2026-09-03,U56_COLS,6059,56,328089,30752,0.0937306645,0.0771273457,40161,0.1224088586,0.0000011320,0.0000080104,60,0.0771273457,1,False
0ede2282,c006b439,2026-09-04,ALL_COLS,4698,58,258327,23147,0.0896034871,0.0003710575,40286,0.1559496297,0.0000011298,0.0000079450,6,0.0003853819,0,True
0ede2282,c006b439,2026-09-04,U56_COLS,4698,56,253103,23147,0.0914528868,0.0003710575,40286,0.1591684018,0.0000011298,0.0000079450,6,0.0003853819,0,True
c006b439,50585c86,2026-09-04,ALL_COLS,4698,58,258327,23436,0.0907222242,0.0513743999,40724,0.1576451552,0.0000011355,0.0000076948,8,0.0513743999,1,True
c006b439,50585c86,2026-09-04,U56_COLS,4698,56,253103,23434,0.0925868125,0.0002125850,40722,0.1608910207,0.0000011354,0.0000076870,6,0.0002223897,1,True
50585c86,f138ee9a,2026-09-07,ALL_COLS,4699,58,258385,27779,0.1075101109,0.0018102985,44757,0.1732182596,0.0000011270,0.0000080866,8,0.0017696025,0,True
50585c86,f138ee9a,2026-09-07,U56_COLS,4699,56,253159,27777,0.1097215584,0.0006538651,44755,0.1767861305,0.0000011270,0.0000080720,7,0.0006352412,0,True
f138ee9a,9ee888f4,2026-09-08,ALL_COLS,4699,58,258385,23055,0.0892273158,0.0000509424,40198,0.1555740465,0.0000011426,0.0000076176,0,0.0000533119,1,True
f138ee9a,9ee888f4,2026-09-08,U56_COLS,4699,56,253159,23055,0.0910692490,0.0000509424,40198,0.1587855853,0.0000011426,0.0000076176,0,0.0000533119,1,True
9ee888f4,7a93b075,2026-09-09,ALL_COLS,4700,58,258443,23250,0.0899618098,0.0003711952,40475,0.1566109355,0.0000011293,0.0000080121,5,0.0003853819,1,True
9ee888f4,7a93b075,2026-09-09,U56_COLS,4700,56,253215,23248,0.0918113066,0.0003711952,40473,0.1598365026,0.0000011293,0.0000080104,4,0.0003853819,1,True
7a93b075,60e8c36a,2026-09-10,ALL_COLS,4701,58,258501,23065,0.0892259604,0.0029164871,40189,0.1554694179,0.0000011371,0.0000078560,6,0.0028869091,1,True
7a93b075,60e8c36a,2026-09-10,U56_COLS,4701,56,253271,23063,0.0910605636,0.0003710575,40187,0.1586719364,0.0000011371,0.0000078496,4,0.0003853819,1,True
60e8c36a,56e08b10,2026-09-11,ALL_COLS,4702,58,258559,27826,0.1076195375,0.0015822785,44820,0.1733453486,0.0000011894,0.0002287135,701,0.0010924041,1,True
60e8c36a,56e08b10,2026-09-11,U56_COLS,4702,56,253327,27824,0.1098343248,0.0015822785,44818,0.1769175808,0.0000011892,0.0002275132,699,0.0010924041,1,True
56e08b10,b2528b96,2026-09-14,ALL_COLS,4703,58,258617,22946,0.0887257992,0.0009528169,39856,0.1541120653,0.0000011355,0.0000077115,2,0.0009822335,1,True
56e08b10,b2528b96,2026-09-14,U56_COLS,4703,56,253383,22944,0.0905506684,0.0000634639,39854,0.1572875844,0.0000011354,0.0000077046,0,0.0000749704,1,True
b2528b96,868b5c36,2026-09-15,ALL_COLS,4704,58,258675,26807,0.1036319706,0.0061251066,43226,0.1671054412,0.0000010828,0.0000077195,4,0.0062300471,1,True
b2528b96,868b5c36,2026-09-15,U56_COLS,4704,56,253439,26805,0.1057650953,0.0061251066,43224,0.1705499154,0.0000010828,0.0000077092,3,0.0062300471,1,True
868b5c36,6f1fcb13,2026-09-16,ALL_COLS,4705,58,258733,31505,0.1217664542,0.0083835720,47572,0.1838652201,0.0000010506,0.0000079116,6,0.0083566228,1,True
868b5c36,6f1fcb13,2026-09-16,U56_COLS,4705,56,253495,31503,0.1242746405,0.0083835720,47570,0.1876565613,0.0000010506,0.0000079066,4,0.0083566228,1,True
6f1fcb13,1a89f791,2026-09-17,ALL_COLS,4706,58,258791,23182,0.0895780765,0.0009180677,40186,0.1552836072,0.0000011326,0.0000077268,2,0.0009254354,1,True
6f1fcb13,1a89f791,2026-09-17,U56_COLS,4706,56,253551,23180,0.0914214497,0.0000509450,40184,0.1584848808,0.0000011325,0.0000077062,0,0.0000533119,1,True
1a89f791,4e19a80d,2026-09-18,ALL_COLS,4707,58,258849,27559,0.1064674772,0.0017692070,44339,0.1712929159,0.0000010856,0.0000078063,3,0.0017052970,1,True
1a89f791,4e19a80d,2026-09-18,U56_COLS,4707,56,253607,27557,0.1086602499,0.0017692070,44337,0.1748256160,0.0000010856,0.0000077777,1,0.0017052970,1,True
