universe,sleeve,book,corr
u56,S4,top20,0.11982166171076832
u56,S4,ewall,0.1069025829369223
u56,S4,SPY,-0.14154723487600818
u56,noTLT,top20,0.23761255560697664
u56,noTLT,ewall,0.2170980619427555
u56,noTLT,SPY,0.02939533114609785
u56,noGLD,top20,0.0070245155558085574
u56,noGLD,ewall,-0.008839885396102646
u56,noGLD,SPY,-0.2204291854892645
u56,noDBC,top20,-0.02517544525360728
u56,noDBC,ewall,-0.05087072159458558
u56,noDBC,SPY,-0.27361824777392685
u56,noUUP,top20,0.17977045595067717
u56,noUUP,ewall,0.19328889742930763
u56,noUUP,SPY,-0.046951236053702945
u56,TLTonly,top20,-0.18060618017832392
u56,TLTonly,ewall,-0.17319080239409915
u56,TLTonly,SPY,-0.3605866811582605
broad,S4,top20,0.03515875843561142
broad,S4,ewall,-0.01129746367411618
broad,S4,SPY,-0.14147488033964523
broad,noTLT,top20,0.16217180790556227
broad,noTLT,ewall,0.1268425356916753
broad,noTLT,SPY,0.02970713129927297
broad,noGLD,top20,-0.04208128234596012
broad,noGLD,ewall,-0.0967440043381023
broad,noGLD,SPY,-0.22041874312412255
broad,noDBC,top20,-0.09338712873448646
broad,noDBC,ewall,-0.15360229954880306
broad,noDBC,SPY,-0.2734605704648012
broad,noUUP,top20,0.08451401191927155
broad,noUUP,ewall,0.06718844066874519
broad,noUUP,SPY,-0.04713509579116714
broad,TLTonly,top20,-0.22135924513477057
broad,TLTonly,ewall,-0.2577585409591573
broad,TLTonly,SPY,-0.36059050455931113
