prec,rstar,corpus_cells,corpus_gt,corpus_rate,pub_cells,pub_gt,pub_rate,pub_signflip,collision
2dp,1.25,21454,10680,0.4978092663372798,21233,10556,0.4971506617058353,0.022135355343098007,35.98813559322034
2dp,1.5,21454,7764,0.361890556539573,21233,7660,0.36075919559176756,0.022135355343098007,35.98813559322034
2dp,2.0,21454,4281,0.19954320872564557,21233,4219,0.1987001365798521,0.022135355343098007,35.98813559322034
2dp,3.0,21454,1693,0.07891302321245455,21233,1653,0.077850515706683,0.022135355343098007,35.98813559322034
2dp,5.0,21454,736,0.03430595693110842,21233,711,0.033485612019026986,0.022135355343098007,35.98813559322034
2dp,10.0,21454,357,0.01664025356576862,21233,342,0.01610700324965855,0.022135355343098007,35.98813559322034
3dp,1.25,21454,10680,0.4978092663372798,19674,9814,0.4988309443936159,0.023228626613805023,17.303430079155675
3dp,1.5,21454,7764,0.361890556539573,19674,7116,0.3616956389143031,0.023228626613805023,17.303430079155675
3dp,2.0,21454,4281,0.19954320872564557,19674,3900,0.1982311680390363,0.023228626613805023,17.303430079155675
3dp,3.0,21454,1693,0.07891302321245455,19674,1507,0.07659855647046863,0.023228626613805023,17.303430079155675
3dp,5.0,21454,736,0.03430595693110842,19674,647,0.032886042492629865,0.023228626613805023,17.303430079155675
3dp,10.0,21454,357,0.01664025356576862,19674,315,0.016010978956999086,0.023228626613805023,17.303430079155675
pct1dp,1.25,21454,10680,0.4978092663372798,16681,8577,0.5141778070859061,0.026976799952041244,21.385897435897437
pct1dp,1.5,21454,7764,0.361890556539573,16681,6259,0.37521731311072476,0.026976799952041244,21.385897435897437
pct1dp,2.0,21454,4281,0.19954320872564557,16681,3408,0.20430429830345903,0.026976799952041244,21.385897435897437
pct1dp,3.0,21454,1693,0.07891302321245455,16681,1378,0.08260895629758408,0.026976799952041244,21.385897435897437
pct1dp,5.0,21454,736,0.03430595693110842,16681,611,0.03662849949043822,0.026976799952041244,21.385897435897437
pct1dp,10.0,21454,357,0.01664025356576862,16681,297,0.01780468796834722,0.026976799952041244,21.385897435897437
pct2dp,1.25,21454,10680,0.4978092663372798,7883,3765,0.47761004693644554,0.04820499809717113,5.663074712643678
pct2dp,1.5,21454,7764,0.361890556539573,7883,2712,0.3440314601040213,0.04820499809717113,5.663074712643678
pct2dp,2.0,21454,4281,0.19954320872564557,7883,1638,0.20778891285043766,0.04820499809717113,5.663074712643678
pct2dp,3.0,21454,1693,0.07891302321245455,7883,838,0.10630470633007738,0.04820499809717113,5.663074712643678
pct2dp,5.0,21454,736,0.03430595693110842,7883,451,0.0572117214258531,0.04820499809717113,5.663074712643678
pct2dp,10.0,21454,357,0.01664025356576862,7883,222,0.028161867309399975,0.04820499809717113,5.663074712643678
ALL,1.25,21454,10680,0.4978092663372798,21234,10556,0.4971272487520015,0.02213431289441462,19.0766317016317
ALL,1.5,21454,7764,0.361890556539573,21234,7660,0.3607422058962042,0.02213431289441462,19.0766317016317
ALL,2.0,21454,4281,0.19954320872564557,21234,4219,0.19869077893943676,0.02213431289441462,19.0766317016317
ALL,3.0,21454,1693,0.07891302321245455,21234,1653,0.07784684939248375,0.02213431289441462,19.0766317016317
ALL,5.0,21454,736,0.03430595693110842,21234,711,0.03348403503814637,0.02213431289441462,19.0766317016317
ALL,10.0,21454,357,0.01664025356576862,21234,342,0.01610624470189319,0.02213431289441462,19.0766317016317
