panel,anchor,ladder,chooser,L,k_rungs,anchor_rung,pick_rung,pick_i,anchor_i,reached,is_margin,delta,SE_JOINT,SE_MARGINAL,corr_pick_anchor,P_pick,P_anchor,resolved,C_STRICT,C_PROX,C_ALL,SE_IID
U56,A,N,CH_ISSHARPE,21,9,20,40,8,5,False,0.010075690077960164,0.06429427484374095,0.0848665369386069,0.45536680466809576,0.9652755269790043,0.418,0.011,False,True,True,True,0.09164951047628359
U56,A,N,CH_ISSHARPE,63,9,20,40,8,5,False,0.010075690077960164,0.06429427484374095,0.08150396112672237,0.4098034657453725,0.9604541154710909,0.429,0.005,False,True,True,True,0.09164951047628359
U56,A,N,CH_ISSHARPE,126,9,20,40,8,5,False,0.010075690077960164,0.06429427484374095,0.08407697900321623,0.4252966310031696,0.9609271104134118,0.412,0.02,False,True,True,True,0.09164951047628359
U56,A,N,CH_ISSHARPE,252,9,20,40,8,5,False,0.010075690077960164,0.06429427484374095,0.07778474667557814,0.32910252735498824,0.9446371150287551,0.396,0.013,False,True,True,True,0.09164951047628359
U56,A,N,CH_ISCAGR,21,9,20,5,0,5,False,0.023520397408231863,0.04853249784692304,0.035936268263076464,0.07728045700567658,0.8366479064651519,0.778,0.005,False,False,True,True,0.041736908242469443
U56,A,N,CH_ISCAGR,63,9,20,5,0,5,False,0.023520397408231863,0.04853249784692304,0.037258943570660785,0.07230806904593802,0.8247772389166841,0.814,0.003,False,False,True,True,0.041736908242469443
U56,A,N,CH_ISCAGR,126,9,20,5,0,5,False,0.023520397408231863,0.04853249784692304,0.03490806184009046,0.06697363106632469,0.8093078049612047,0.878,0.003,False,False,True,True,0.041736908242469443
U56,A,N,CH_ISCAGR,252,9,20,5,0,5,False,0.023520397408231863,0.04853249784692304,0.03483861490655686,0.05793539773481892,0.7499591228522395,0.903,0.0,True,False,True,True,0.041736908242469443
U56,A,N,CH_ISDD,21,9,20,40,8,5,False,0.013708522069097118,0.013708522069097118,0.018857796688337387,0.0634389776523085,0.930163501332895,0.875,0.02,False,False,True,True,0.019886076182566624
U56,A,N,CH_ISDD,63,9,20,40,8,5,False,0.013708522069097118,0.013708522069097118,0.015704033451333747,0.05063048348807443,0.9262032882317864,0.945,0.003,True,False,True,True,0.019886076182566624
U56,A,N,CH_ISDD,126,9,20,40,8,5,False,0.013708522069097118,0.013708522069097118,0.01374138500981802,0.03919017991453396,0.9014914688535162,0.963,0.001,True,False,True,True,0.019886076182566624
U56,A,N,CH_ISDD,252,9,20,40,8,5,False,0.013708522069097118,0.013708522069097118,0.010587582427096344,0.028018315785430216,0.8711115274046014,0.99,0.001,True,False,True,True,0.019886076182566624
U56,A,H,CH_ISSHARPE,21,4,126,252,3,2,False,0.009654230005583075,0.01960239530172747,0.08971663022322965,0.47244538321479246,0.9640570440714151,0.354,0.147,False,True,True,True,0.10356660514182896
