panel,anchor,ladder,k,spearman_rung_vs_ISSharpe,monotone,IS_Sharpe_spread
U56,A,N,9,0.11666666666666665,False,0.15176038110553902
U56,A,H,4,0.39999999999999997,False,0.022048808357154392
U56,A,GROSS,10,0.9999999999999999,True,0.0013945308660590072
U56,B,N,9,0.31666666666666665,False,0.07346302569455232
U56,B,H,4,0.7999999999999999,False,0.05596202044610954
U56,B,GROSS,10,0.9999999999999999,True,0.008454336852164346
B136,A,N,9,-0.7166666666666667,False,0.1870058979110616
B136,A,H,4,-0.7999999999999999,False,0.1003090430484761
B136,A,GROSS,10,0.9999999999999999,True,0.003384122485352581
B136,B,N,9,-0.9500000000000001,False,0.2672092552956351
B136,B,H,4,-0.7999999999999999,False,0.2892689602677896
B136,B,GROSS,10,0.9999999999999999,True,0.009049741226831776
SMALL,A,N,9,0.9166666666666666,False,0.32910166468472796
SMALL,A,H,4,0.39999999999999997,False,0.37178865820778284
SMALL,A,GROSS,10,0.9999999999999999,True,0.002363964029700516
SMALL,B,N,9,-0.7833333333333333,False,0.23036497881413365
SMALL,B,H,4,-1.0,True,0.35747567013538806
SMALL,B,GROSS,10,0.9999999999999999,True,0.008972085962789977
