leg,window,char,k,n_B,n_S,n_min,rep,n_overlap,reach_lo_B,reach_hi_B,reach_lo_S,reach_hi_S,reach_w_B,reach_w_S,abs_resid,mean_resid,abs_resid_sd_units,worst_rung
ANCHRS,FULL,momac,36,134,657,134,100,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.007427235472379973,-0.007427235472379973,0.08170788382280965,0.01100757754872217
ANCHRS,FULL,momac,36,134,657,134,101,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.008134378745406373,-0.008134378745406373,0.08948724945803001,0.015832604627172953
ANCHRS,FULL,momac,36,134,657,134,102,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.004940126989219834,-0.004940126989219834,0.05434691327697416,0.009444039969206175
ANCHRS,FULL,momac,36,134,657,134,103,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.007178173634948742,-0.007178173634948742,0.07896792549602652,0.010214386600572167
ANCHRS,FULL,momac,36,134,657,134,104,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.010205140933833873,-0.010205140933833873,0.11226794584848439,0.016284061092699975
ANCHRS,FULL,momac,36,134,657,134,105,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.0062532765597614615,-0.004248853861234442,0.06879302488213192,0.010510779739516751
ANCHRS,FULL,momac,36,134,657,134,106,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.005887904796620935,-0.005704586939998146,0.06477352749500317,0.012007163637283602
ANCHRS,FULL,momac,36,134,657,134,107,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.008062482289439732,-0.008062482289439732,0.08869630815917932,0.014903429592152961
ANCHRS,FULL,momac,36,134,657,134,108,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.01106490746717484,-0.01106490746717484,0.12172633777401369,0.014178004564147417
ANCHRS,FULL,momac,36,134,657,134,109,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.006737625330771713,-0.006737625330771713,0.07412140221156979,0.0091028391894451
ANCHRS,FULL,momac,36,134,657,134,110,4,0.8345079672371651,0.9181480993400888,0.5619080892396074,0.9355473830692664,0.08364013210292365,0.373639293829659,0.007033367619405234,-0.007033367619405234,0.07737489762732996,0.00841379208496118
