item,kind,hmult,half_w,grid_step,exact_crossing,exact_last_nonpos,exact_argmax,published,crossing,argmax,d_crossing_steps,d_argmax_steps,sign_crossing,sign_argmax,moves_crossing,moves_argmax,exact_defined,aligned,mean_n,balanced,table,n_hmult,ch_moves,max_d_ch,signs,am_moves,max_d_am,one_direction,note,exact,steps,moved,published_kind
219,crossing,0.5,0.012500000000000011,0.025000000000000022,,1.0,0.5875,0.425,,0.65,,2.0,,1.0,False,True,False,False,2.3801652892561984,False,per_read,,,,,,,,,,,,
219,crossing,1.0,0.025000000000000022,0.025000000000000022,,1.0,0.5875,0.425,,0.625,,1.0,,1.0,False,True,False,False,2.3801652892561984,False,per_read,,,,,,,,,,,,
219,crossing,2.0,0.050000000000000044,0.025000000000000022,,1.0,0.5875,0.425,0.425,0.65,,2.0,,1.0,True,True,False,False,2.3801652892561984,False,per_read,,,,,,,,,,,,
219,crossing,3.0,0.07500000000000007,0.025000000000000022,,1.0,0.5875,0.425,0.425,0.65,,2.0,,1.0,True,True,False,False,2.3801652892561984,False,per_read,,,,,,,,,,,,
219,crossing,4.0,0.10000000000000009,0.025000000000000022,,1.0,0.5875,0.425,0.375,0.675,,3.0,,1.0,True,True,False,False,2.3801652892561984,False,per_read,,,,,,,,,,,,
219,crossing,5.0,0.1250000000000001,0.025000000000000022,,1.0,0.5875,0.425,0.35,0.675,,3.0,,1.0,True,True,False,False,2.3801652892561984,False,per_read,,,,,,,,,,,,
167,no-crossing,0.5,0.05000000000000002,0.10000000000000003,0.05,,0.4,,0.05,0.4,0.0,0.0,0.0,0.0,False,False,True,True,12.0,True,per_read,,,,,,,,,,,,
167,no-crossing,1.0,0.10000000000000003,0.10000000000000003,0.05,,0.4,,0.05,0.85,0.0,3.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
167,no-crossing,2.0,0.20000000000000007,0.10000000000000003,0.05,,0.4,,0.05,1.0,0.0,4.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
167,no-crossing,3.0,0.3000000000000001,0.10000000000000003,0.05,,0.4,,0.05,0.7,0.0,2.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
167,no-crossing,4.0,0.40000000000000013,0.10000000000000003,0.05,,0.4,,0.05,0.7,0.0,2.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
167,no-crossing,5.0,0.5000000000000002,0.10000000000000003,0.05,,0.4,,0.05,0.85,0.0,3.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
159B,no-crossing,0.5,0.05000000000000002,0.10000000000000003,0.05,,0.05,,0.05,0.05,0.0,0.0,0.0,0.0,False,False,True,True,12.0,True,per_read,,,,,,,,,,,,
159B,no-crossing,1.0,0.10000000000000003,0.10000000000000003,0.05,,0.05,,0.05,0.05,0.0,0.0,0.0,0.0,False,False,True,True,12.0,True,per_read,,,,,,,,,,,,
159B,no-crossing,2.0,0.20000000000000007,0.10000000000000003,0.05,,0.05,,0.05,0.05,0.0,0.0,0.0,0.0,False,False,True,True,12.0,True,per_read,,,,,,,,,,,,
159B,no-crossing,3.0,0.3000000000000001,0.10000000000000003,0.05,,0.05,,0.05,0.05,0.0,0.0,0.0,0.0,False,False,True,True,12.0,True,per_read,,,,,,,,,,,,
159B,no-crossing,4.0,0.40000000000000013,0.10000000000000003,0.05,,0.05,,0.05,0.1,0.0,1.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
159B,no-crossing,5.0,0.5000000000000002,0.10000000000000003,0.05,,0.05,,0.05,0.15,0.0,2.0,0.0,1.0,False,True,True,True,12.0,True,per_read,,,,,,,,,,,,
159c,no-crossing,0.5,0.03999999999999998,0.07999999999999996,0.03,,0.03,0.85,0.03,0.05,0.0,1.0,0.0,1.0,False,True,True,True,3.0,True,per_read,,,,,,,,,,,,
159c,no-crossing,1.0,0.07999999999999996,0.07999999999999996,0.03,,0.03,0.85,0.03,0.05,0.0,1.0,0.0,1.0,False,True,True,True,3.0,True,per_read,,,,,,,,,,,,
159c,no-crossing,2.0,0.15999999999999992,0.07999999999999996,0.03,,0.03,0.85,0.03,0.03,0.0,0.0,0.0,0.0,False,False,True,True,3.0,True,per_read,,,,,,,,,,,,
