panel,dial,argmax_0bps,top2_gap_0bps,max_tilt_30bps,predicted_rerank,actual_rerank
B136,G,0.12,0.00015354534361033956,0.0,False,False
B136,K,4.0,0.019882437743776515,0.07021929100135325,True,False
B136,N,40.0,0.00700242213671376,0.024705290074144147,True,True
B136,V,0.8,0.026038318657331416,0.013191241034356989,False,False
SMALL484,G,0.02,0.0011407632528028788,0.004952945052134616,True,False
SMALL484,K,1.0,0.0018469333038884095,0.2963591965841451,True,True
SMALL484,N,15.0,0.03478295560107192,0.04021574601789661,True,False
SMALL484,V,5.0,0.1288662917110993,0.0,False,False
U56,G,0.12,0.012230121380209624,0.0,False,False
U56,K,1.0,0.0068032606821282204,0.19395739236129117,True,True
U56,N,40.0,0.006461922531561193,0.0,False,False
U56,V,5.0,0.006901186718272223,0.0,False,False
