panel,cadence,family,cost,chooser,cell,oos_CAGR,oos_Sharpe,oos_MaxDD,CAGR,Sharpe,MaxDD,H1,H2,bind,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos
B136,M,BAND,0,IS_SHARPE,0.12|1.0,0.18846464725549716,1.1491925523973114,-0.31717698378828785,0.1828478356740173,1.1523394642005578,-0.31717698378828807,1.2601552449573517,1.0660537267577155,L4_DD,False,False,False,False,False
B136,M,BAND,0,IS_LEGS,0.12|0.75,0.14041477038183237,1.1527056091014853,-0.24403540585615469,0.13621162515360785,1.1537301707373178,-0.24403540585615513,1.2590873834211078,1.0686392212709512,L4_DD,False,False,False,False,False
B136,M,BAND,0,IS_CALMAR,0.0|1.0,0.17502349682527818,1.1160484405507225,-0.28274965604305224,0.1704972029928995,1.1181484246004372,-0.28274965604305224,1.227641518296546,1.0277246657819832,L4_DD,False,False,False,False,False
B136,M,BAND,0,IS_MINMARG,0.0|0.75,0.1305937512381452,1.1170976836171937,-0.21723335219571083,0.127110206234885,1.117287176824419,-0.21723335219571027,1.2247522447966332,1.0280829757585102,L4_DD,False,False,False,False,False
B136,M,BAND,0,IS_CAGRSLACK,0.12|1.0,0.18846464725549716,1.1491925523973114,-0.31717698378828785,0.1828478356740173,1.1523394642005578,-0.31717698378828807,1.2601552449573517,1.0660537267577155,L4_DD,False,False,False,False,False
B136,M,BAND,0,IS_DD,0.0|0.25,0.043012340181905806,1.1188410374592055,-0.0760072113485516,0.041804752189521954,1.1153383631424045,-0.07600721134855148,1.218923310989316,1.0286726765922325,L5_CAGR,False,False,False,False,False
B136,M,BAND,0,CELL_ALPHA,0.03|0.25,0.04298584147260587,1.113894556655461,-0.07849657231700502,0.04124067763361783,1.104849127050955,-0.07849657231700491,1.2003703519191289,1.0280255067057167,L5_CAGR,False,False,False,False,False
B136,M,BAND,10,IS_SHARPE,0.12|1.0,0.1859590013427579,1.1359864819047953,-0.3172506525783383,0.1804521397520713,1.1393582183641273,-0.3172506525783384,1.2478134628564477,1.0525146134223402,L4_DD,False,False,False,False,False
B136,M,BAND,10,IS_LEGS,0.12|0.75,0.13858290223262304,1.1391837428589526,-0.2440990917011252,0.13445729121774042,1.140463399505463,-0.24409909170112554,1.2465095401393869,1.0547712701267735,L4_DD,False,False,False,False,False
B136,M,BAND,10,IS_CALMAR,0.0|1.0,0.1695207506352061,1.0859749843206135,-0.2835515603147214,0.16517082330466937,1.0880105941947487,-0.28355156031472184,1.1977685623307688,0.9972031891371593,L4_DD,False,False,False,False,False
