panel,carrier,cadence,rung,days_identical_to_NONE,mean_L1_vs_NONE
U56,V1,W,0.45,0.9912320143884892,0.0021919964028776977
U56,V1,W,0.60,0.9986510791366906,0.00023606115107913664
U56,V1,W,0.80,0.9997751798561151,3.372302158273381e-05
U56,V1,W,1.00,0.9997751798561151,6.744604316546762e-05
U56,V1,W,1.50,1.0,0.0
U56,V1,M,0.45,0.9912320143884892,0.0021919964028776977
U56,V1,M,0.60,0.9986510791366906,0.00023606115107913664
U56,V1,M,0.80,0.9997751798561151,3.372302158273381e-05
U56,V1,M,1.00,0.9997751798561151,6.744604316546762e-05
U56,V1,M,1.50,1.0,0.0
U56,BASE20,W,0.45,0.18974820143884893,0.13880395683453237
U56,BASE20,W,0.60,0.4714478417266187,0.0596644559352518
U56,BASE20,W,0.80,0.7767535971223022,0.019795413669064746
U56,BASE20,W,1.00,0.9073741007194245,0.007368480215827338
U56,BASE20,W,1.50,0.98943345323741,0.0007419064748201439
U56,BASE20,M,0.45,0.18974820143884893,0.13880395683453237
U56,BASE20,M,0.60,0.4714478417266187,0.0596644559352518
U56,BASE20,M,0.80,0.7767535971223022,0.019795413669064746
U56,BASE20,M,1.00,0.9073741007194245,0.007368480215827338
U56,BASE20,M,1.50,0.98943345323741,0.0007419064748201439
B136,V1,W,0.45,0.9986510791366906,0.00037095323741007195
B136,V1,W,0.60,0.9993255395683454,0.00013489208633093525
B136,V1,W,0.80,1.0,0.0
B136,V1,W,1.00,1.0,0.0
B136,V1,W,1.50,1.0,0.0
B136,V1,M,0.45,0.9986510791366906,0.00037095323741007195
B136,V1,M,0.60,0.9993255395683454,0.00013489208633093525
B136,V1,M,0.80,1.0,0.0
B136,V1,M,1.00,1.0,0.0
B136,V1,M,1.50,1.0,0.0
B136,BASE20,W,0.45,0.13871402877697842,0.2216192670863309
B136,BASE20,W,0.60,0.3891636690647482,0.09127978866906475
B136,BASE20,W,0.80,0.7317895683453237,0.028976506294964025
B136,BASE20,W,1.00,0.8783723021582733,0.011339366007194243
B136,BASE20,W,1.50,0.9718974820143885,0.0020655350719424466
B136,BASE20,M,0.45,0.13871402877697842,0.2216192670863309
B136,BASE20,M,0.60,0.3891636690647482,0.09127978866906475
B136,BASE20,M,0.80,0.7317895683453237,0.028976506294964025
B136,BASE20,M,1.00,0.8783723021582733,0.011339366007194243
B136,BASE20,M,1.50,0.9718974820143885,0.0020655350719424466
SMALL,V1,W,0.45,0.9901090540197819,0.0046791782906416435
SMALL,V1,W,0.60,0.9951813340096374,0.0023966522952066954
SMALL,V1,W,0.80,0.9951813340096374,0.002092315495815369
SMALL,V1,W,1.00,0.9964494040071012,0.0015597260968805478
SMALL,V1,W,1.50,1.0,0.0
SMALL,V1,M,0.45,0.9901090540197819,0.0046791782906416435
SMALL,V1,M,0.60,0.9951813340096374,0.0023966522952066954
SMALL,V1,M,0.80,0.9951813340096374,0.002092315495815369
SMALL,V1,M,1.00,0.9964494040071012,0.0015597260968805478
SMALL,V1,M,1.50,1.0,0.0
SMALL,BASE20,W,0.45,0.0,1.0817746639614507
SMALL,BASE20,W,0.60,0.0,0.7798630484402739
SMALL,BASE20,W,0.80,0.00380420999239158,0.4816890692366218
SMALL,BASE20,W,1.00,0.039817397920365205,0.3016453208217093
SMALL,BASE20,W,1.50,0.31930002536139995,0.11393608927212782
SMALL,BASE20,M,0.45,0.0,1.0817746639614507
SMALL,BASE20,M,0.60,0.0,0.7798630484402739
SMALL,BASE20,M,0.80,0.00380420999239158,0.4816890692366218
SMALL,BASE20,M,1.00,0.039817397920365205,0.3016453208217093
SMALL,BASE20,M,1.50,0.31930002536139995,0.11393608927212782
