panel,book,MaxDD,trough,trough_year,peak,MaxDD_ex_2020_2022,worst_day_outside
U56,SPY,-0.3371725677562025,2020-03-23,2020,2020-02-19,-0.19348946290800462,-0.19348946290800462
U56,RULES v2,-0.11916468035909678,2020-03-12,2020,2020-02-19,-0.07885120777206456,-0.07885120777206456
U56,EWall,-0.1584426947745894,2020-03-12,2020,2020-02-19,-0.12611424866314824,-0.12611424866314824
U56,CAND-5,-0.20872207268505816,2023-03-15,2023,2022-06-08,-0.18822091039354383,-0.20872207268505816
U56,CAND-10,-0.17538173356699616,2020-03-12,2020,2020-02-19,-0.15217648167558684,-0.15217648167558717
U56,CAND-20,-0.18091670392535653,2020-03-12,2020,2020-02-19,-0.13621244170831281,-0.13621244170831281
U56,CAND-20-INV,-0.171154216973871,2020-03-12,2020,2020-02-19,-0.13005251092846415,-0.13397946053698817
B136,SPY,-0.3371595330739301,2020-03-23,2020,2020-02-19,-0.22058362096015105,-0.22058362096015105
B136,RULES v2,-0.12178128651163933,2020-03-12,2020,2020-02-19,-0.07885573013155722,-0.09246683772333497
B136,EWall,-0.1768127133019105,2020-03-31,2020,2020-02-19,-0.12708196120769877,-0.12708196120769877
B136,CAND-5,-0.23988843771808588,2022-09-30,2022,2022-06-08,-0.22991024475978494,-0.22991024475978494
B136,CAND-10,-0.21444792932259604,2020-03-12,2020,2020-02-19,-0.18588177331794187,-0.18588177331794187
B136,CAND-20,-0.20052048331108296,2020-03-12,2020,2020-02-19,-0.14997447062667302,-0.15045311355872504
B136,CAND-20-INV,-0.18086909680048735,2020-03-31,2020,2020-02-19,-0.10367918105986818,-0.11359965100761771
SMALL439,SPY,-0.3371725677562025,2020-03-23,2020,2020-02-19,-0.19348946290800462,-0.19348946290800462
SMALL439,RULES v2,-0.1470362580000899,2020-03-18,2020,2018-08-31,-0.11418196681438164,-0.11418196681438164
SMALL439,EWall,-0.3998069131118529,2020-03-18,2020,2018-08-31,-0.2086106141339562,-0.23861959361911877
SMALL439,CAND-5,-0.40198651084075543,2025-04-08,2025,2022-04-20,-0.30791691056420356,-0.40198651084075543
SMALL439,CAND-10,-0.31402324999329245,2020-03-18,2020,2020-02-20,-0.26413534311173803,-0.27668668073059555
SMALL439,CAND-20,-0.32356290953762734,2020-03-18,2020,2018-09-04,-0.2291661443065237,-0.2743168968621976
SMALL439,CAND-20-INV,-0.35630074296406566,2020-03-18,2020,2018-08-06,-0.2119999222302862,-0.2884972999641944
