depth,n_silent,converted,share_converted,declared_open,still_absent,share_absent,dim
D0_MODULE,4990,0,0.0,0,4990,1.0,
D1_DEF,4990,163,0.03266533066132264,30,4797,0.9613226452905812,
D2_ASSIGN,4990,909,0.18216432865731463,470,3611,0.7236472945891783,
D3_DOC,4990,975,0.19539078156312625,572,3443,0.6899799599198396,
D0_MODULE,1605,0,0.0,0,1605,1.0,N
D0_MODULE,1989,0,0.0,0,1989,1.0,H
D0_MODULE,790,0,0.0,0,790,1.0,GROSS
D0_MODULE,606,0,0.0,0,606,1.0,CAD
D1_DEF,1605,87,0.05420560747663551,0,1518,0.9457943925233645,N
D1_DEF,1989,2,0.001005530417295123,0,1987,0.9989944695827049,H
D1_DEF,790,31,0.039240506329113925,30,729,0.9227848101265823,GROSS
D1_DEF,606,43,0.07095709570957096,0,563,0.929042904290429,CAD
D2_ASSIGN,1605,412,0.25669781931464175,242,951,0.5925233644859813,N
D2_ASSIGN,1989,154,0.07742584213172449,58,1777,0.893413775766717,H
D2_ASSIGN,790,112,0.14177215189873418,78,600,0.759493670886076,GROSS
D2_ASSIGN,606,231,0.3811881188118812,92,283,0.466996699669967,CAD
D3_DOC,1605,452,0.28161993769470406,337,816,0.508411214953271,N
D3_DOC,1989,150,0.07541478129713423,65,1774,0.8919054801407743,H
D3_DOC,790,123,0.15569620253164557,78,589,0.7455696202531645,GROSS
D3_DOC,606,250,0.41254125412541254,92,264,0.43564356435643564,CAD
