panel,band,g_is,g_oos_true,drift,oCAGR,oSharpe,oMaxDD,spy_oCAGR,spy_oSharpe,spy_oMaxDD,live_oCAGR,live_oSharpe,live_oMaxDD,oos_4b_leg,full_4b,fail4b
U56,0.0,,0.8861197875976562,,,,,,,,,,,,,
U56,0.01,,0.8698250305175782,,,,,,,,,,,,,
U56,0.02,,0.8536523315429688,,,,,,,,,,,,,
U56,0.03,,0.8449862060546873,,,,,,,,,,,,,
U56,0.05,,0.878918359375,,,,,,,,,,,,,
U56,0.08,0.9855361145019532,0.8855094970703126,-0.10002661743164065,0.11996696858636091,1.1811129068392936,-0.18645404848917158,0.153780735432695,0.878646168321868,-0.3371728920067377,0.0950629792087272,1.2816876607860581,-0.12054947359101964,True,True,-
B136,0.0,,,,,,,,,,,,,,,
B136,0.01,,,,,,,,,,,,,,,
B136,0.02,0.974123681640625,,,0.10499113010094074,1.1400479938609418,-0.15694902595265436,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,CAGR
B136,0.03,0.9683869506835937,,,0.10320660189939423,1.1196480600485028,-0.15587888277957784,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,CAGR
B136,0.05,0.9647252075195313,,,0.10248006114775077,1.096342571891573,-0.16670027357609074,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,CAGR
B136,0.08,0.8872183105468749,0.9659457885742188,0.07872747802734381,0.09929281506805365,1.1131473713352273,-0.17351396560029164,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.09534818985375493,1.2850848109016457,-0.12054947359101964,False,False,CAGR
SMALL439,0.0,,,,,,,,,,,,,,,
SMALL439,0.01,,,,,,,,,,,,,,,
SMALL439,0.02,,,,,,,,,,,,,,,
SMALL439,0.03,,,,,,,,,,,,,,,
SMALL439,0.05,,,,,,,,,,,,,,,
SMALL439,0.08,,,,,,,,,,,,,,,
