panel,family,pick_lag,pick_gross,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,fresh_OOS_Sharpe,fresh_OOS_CAGR,fresh_OOS_MaxDD,SPY_OOS_Sharpe,SPY_OOS_CAGR,SPY_OOS_MaxDD,V2_OOS_Sharpe,V2_OOS_CAGR,V2_OOS_MaxDD,V2_MaxDD,beats_SPY,beats_V2,full_4a,full_4b,p4a_0,p4a_10,p4a_25,p4b_0,p4b_10,p4b_25,OOS_Sharpe_0,OOS_Sharpe_25
U56,TREND,2,1.0,1.1053761394076744,0.12418264477552565,1.220775290871888,-0.16418766532133278,1.273957588508626,0.1265835231142587,-0.15910990855024065,0.872122672456382,0.15237187725667578,-0.33717256775620263,1.2746660728287855,0.09447597045404743,-0.12054945176473153,-0.12054945176473186,True,False,False,True,False,False,False,True,True,True,1.2451372228995061,1.1841998895277193
U56,MOM,1,1.0,1.0107418351436575,0.13099835484106226,1.043451819429149,-0.2559856706343898,1.0783703939242122,0.13519183441390492,-0.25598567063438993,0.872122672456382,0.15237187725667578,-0.33717256775620263,1.2746660728287855,0.09447597045404743,-0.12054945176473153,-0.12054945176473186,True,False,False,False,False,False,False,False,False,False,1.0700460877261229,1.0035270447800682
U56,VOL,42,1.0,1.115947575761255,0.15556415520604983,1.0519207687348557,-0.29178996833643345,1.175141136598917,0.161203296244945,-0.22163419676770701,0.872122672456382,0.15237187725667578,-0.33717256775620263,1.2746660728287855,0.09447597045404743,-0.12054945176473153,-0.12054945176473186,True,False,False,False,False,False,False,False,False,False,1.0649334157848789,1.032391260114036
U56,BREADTH,21,1.0,0.9809499624791189,0.17407599451770728,1.217292059312421,-0.29178996833643334,1.1966116883034936,0.14242464593298387,-0.24491842712463585,0.872122672456382,0.15237187725667578,-0.33717256775620263,1.2746660728287855,0.09447597045404743,-0.12054945176473153,-0.12054945176473186,True,False,False,False,False,False,False,False,False,False,1.24163912403807,1.1805041501304097
B136,TREND,0,1.0,1.092198222552401,0.10658557013582604,1.1174115114630112,-0.1615773477730451,1.1174115114630112,0.10658557013582604,-0.1615773477730451,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,-0.12240793860208032,True,False,False,True,False,False,False,True,True,False,1.146866305918909,1.0731857152180366
B136,MOM,10,1.0,1.0165432911941774,0.12282904005630724,0.950099429439313,-0.29377626366331866,1.0256079919787149,0.13013703691186684,-0.2904024079286782,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,-0.12240793860208032,True,False,False,False,False,False,False,False,False,False,0.978760269950179,0.9070880364189123
B136,VOL,42,1.0,1.1910736289868915,0.16284899866931535,1.028846905078241,-0.32721478414341365,1.1204728049076595,0.16043256202039236,-0.2451203660837319,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,-0.12240793860208032,True,False,False,False,False,False,False,False,False,False,1.0408436818869702,1.0108427888430982
B136,BREADTH,21,1.0,1.0639690960508519,0.1635477192680348,1.1150967828567464,-0.32721478414341354,1.0835982700668905,0.13589768480723885,-0.26460600034484405,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,-0.12240793860208032,True,False,False,False,False,False,False,False,False,False,1.1387593379346552,1.079360950678494
SMALL484,TREND,21,1.0,0.6834692139458168,0.06506691471641313,0.6432315577420591,-0.26211361554137214,0.6619032593363083,0.05981709102555355,-0.15905486587495887,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.6629120596089234,0.04548190065633895,-0.12087781772280581,-0.12087781772280637,False,False,False,False,False,False,False,False,False,False,0.6807413236986916,0.5869539777682391
SMALL484,MOM,10,1.0,0.7209084244382596,0.05205744481470087,0.5291023903071228,-0.232832871022438,0.5549682852692651,0.054330063090137104,-0.2274609922679398,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.6629120596089234,0.04548190065633895,-0.12087781772280581,-0.12087781772280637,False,False,False,False,False,False,False,False,False,False,0.5700798234401065,0.4676254024608064
SMALL484,VOL,21,1.0,0.6504644524821638,0.027282311237520007,0.2524740819075726,-0.39877003706375835,0.33507043696568317,0.037279897442362486,-0.24709062756194877,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.6629120596089234,0.04548190065633895,-0.12087781772280581,-0.12087781772280637,False,False,False,False,False,False,False,False,False,False,0.2912812739137595,0.1942779779046267
SMALL484,BREADTH,1,1.0,0.6503364133230402,0.008518164134590611,0.13034034031217054,-0.3792000679648675,0.15334897728993122,0.011351635047596176,-0.44905919590155075,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.6629120596089234,0.04548190065633895,-0.12087781772280581,-0.12087781772280637,False,False,False,False,False,False,False,False,False,False,0.1879290563917688,0.043931056062986196
